algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
MRFO,n30 m5 uniform high,30,5,0,15000,47.7760640124218,47.7760640124218,11.36922780689187,44.52792459708759,0.07294612189373535,7.24575662612915,14970,0.13085676037483265,0.15200803212851405,0.015796519410977244,11.11813922356091,0.7348029392117569,0.02681992337164751,,12.586077643908968,9.65020080321285
MRFO,n30 m5 uniform high,30,5,1,15000,48.11550026904822,48.11550026904822,11.336009893810939,44.52792459708759,0.08056911936549764,7.975796937942505,14970,0.26552878179384204,0.001004016064257028,0.011378848728246318,11.07061579651941,0.33400133600534404,0.0,,12.633065595716198,9.508165997322624
MRFO,n30 m5 uniform high,30,5,2,15000,47.06721264516466,47.06721264516466,11.270836945513464,44.52792459708759,0.05702686732098792,7.068237781524658,14970,0.11546184738955824,0.100334672021419,0.015194109772423026,11.050267737617135,0.6680026720106881,0.021226053639846743,,12.58380187416332,9.51673360107095
QI-MRFO no-decoherence,n30 m5 uniform high,30,5,0,15000,45.63754404487703,45.63754404487703,10.991581572820177,44.52792459708759,0.024919630946869182,17.966753721237183,14970,0.6672690763052209,0.006559571619812583,0.01358768406961178,2.1278447121820614,0.6012024048096193,0.0,0.9814211347191661,3.1406961178045516,1.1149933065595716
QI-MRFO no-decoherence,n30 m5 uniform high,30,5,1,15000,47.09195483307617,47.09195483307617,11.171385817447202,44.52792459708759,0.057582522859291004,17.98087477684021,14970,0.7092369477911646,0.0029451137884872825,0.01325301204819277,1.9703480589022757,0.6012024048096193,0.0,0.9881523856907608,2.920214190093708,1.0204819277108435
QI-MRFO no-decoherence,n30 m5 uniform high,30,5,2,15000,45.18009252480143,45.18009252480143,10.944867491367845,44.52792459708759,0.01464626823762849,12.052312135696411,14970,0.6995983935742972,0.002074966532797858,0.016198125836680052,2.0955823293172693,0.8016032064128257,0.0,0.9844393324458953,3.028647925033467,1.1625167336010709
QI-MRFO,n30 m5 uniform high,30,5,0,15000,44.85347686803556,44.85347686803556,10.897736837737353,44.52792459708759,0.007311193456549725,18.733027935028076,14970,0.21265060240963857,0.001004016064257028,0.012717536813922356,4.199397590361446,0.6680026720106881,0.0,0.9135327315191393,5.090227576974565,3.3085676037483265
QI-MRFO,n30 m5 uniform high,30,5,1,15000,45.15625564460314,45.15625564460314,10.904845040558406,44.52792459708759,0.014110943934643847,19.084790468215942,14970,0.21258366800535475,0.004082998661311914,0.018473895582329317,4.181258366800535,1.068804275217101,0.04045977011494253,0.9239067398029699,5.13293172690763,3.2295850066934406
QI-MRFO,n30 m5 uniform high,30,5,2,15000,44.93321071104771,44.93321071104771,10.919453580856796,44.52792459708759,0.009101841543870755,19.373529195785522,14970,0.20187416331994645,0.0017402945113788486,0.022356091030789827,4.233868808567604,1.1356045424181698,0.012413793103448277,0.9293362428414066,5.135341365461848,3.33239625167336
QI-MRFO unsigned,n30 m5 uniform high,30,5,0,15000,45.322799401238505,45.322799401238505,10.960699688854303,44.52792459708759,0.01785115321101008,14.796616315841675,14970,0.23460508701472557,0.005890227576974565,0.016532797858099062,3.852275769745649,0.6680026720106881,0.0044444444444444444,0.9284932259280194,4.724631860776439,2.9799196787148596
