algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
MRFO,n30 m5 uniform high,30,5,0,6000,50.073247810663815,50.073247810663815,11.68094051148563,44.52792459708759,0.12453585617908912,3.5905518531799316,5970,0.06902356902356903,0.013973063973063972,0.029292929292929294,17.028114478114478,0.8375209380234506,0.34597701149425286,,18.72996632996633,15.326262626262626
MRFO,n30 m5 uniform high,30,5,1,6000,47.3260977184982,47.3260977184982,11.217153781898096,44.52792459708759,0.06284086102664718,3.965378999710083,5970,0.22457912457912457,0.006060606060606061,0.03282828282828283,11.604377104377104,0.8375209380234506,0.0,,13.652861952861953,9.555892255892257
QI-MRFO no-decoherence,n30 m5 uniform high,30,5,0,6000,45.793819534503776,45.793819534503776,11.013375654649224,44.52792459708759,0.028429237357695817,8.221309661865234,5970,0.6592592592592592,0.01835016835016835,0.034006734006734006,2.1846801346801348,1.5075376884422111,0.0,0.9875186396021522,3.3138047138047138,1.0555555555555556
QI-MRFO no-decoherence,n30 m5 uniform high,30,5,1,6000,45.790219226035084,45.790219226035084,11.029174716774039,44.52792459708759,0.0283483822875063,6.436557054519653,5970,0.6922558922558922,0.0026936026936026937,0.024915824915824916,2.1686868686868688,1.0050251256281406,0.0,0.98596881892833,3.253872053872054,1.0835016835016835
QI-MRFO,n30 m5 uniform high,30,5,0,6000,46.0617441318315,46.0617441318315,11.104657903834102,44.52792459708759,0.03444623904263964,9.20383620262146,5970,0.19747474747474747,0.015993265993265993,0.02643097643097643,4.74949494949495,1.6750418760469012,0.0022222222222222222,0.9153457024244896,5.951515151515151,3.5474747474747477
QI-MRFO,n30 m5 uniform high,30,5,1,6000,45.101205170018915,45.101205170018915,10.946175509831036,44.52792459708759,0.012874630428403581,8.192492723464966,5970,0.17643097643097644,0.01616161616161616,0.04562289562289562,4.626767676767677,3.0150753768844223,0.0,0.9281029068801531,5.816835016835017,3.4367003367003366
QI-MRFO unsigned,n30 m5 uniform high,30,5,0,6000,45.390390302893664,45.390390302893664,10.965323673252529,44.52792459708759,0.019369097338582993,9.598171472549438,5970,0.23417508417508417,0.0031986531986531986,0.02744107744107744,4.041919191919192,1.1725293132328307,0.0,0.9357340983164557,5.048484848484849,3.0353535353535355
QI-MRFO unsigned,n30 m5 uniform high,30,5,1,6000,45.363717274262974,45.363717274262974,10.981156516799608,44.52792459708759,0.018770079331971605,5.604398965835571,5970,0.22474747474747475,0.006734006734006734,0.03787878787878788,4.141245791245791,1.8425460636515913,0.0,0.9183807099663709,5.101683501683501,3.180808080808081
P-MRFO (linear twin),n30 m5 uniform high,30,5,0,6000,44.9665178811161,44.9665178811161,10.877426120537082,44.52792459708759,0.009849847887525243,6.1403374671936035,5970,0.24461279461279462,0.0065656565656565654,0.04107744107744108,4.434680134680135,2.0100502512562812,0.0,0.934775354556874,5.498316498316498,3.371043771043771
P-MRFO (linear twin),n30 m5 uniform high,30,5,1,6000,45.308569179607915,45.308569179607915,10.965474104378357,44.52792459708759,0.01753157349200558,7.905014514923096,5970,0.23552188552188552,0.015824915824915825,0.04292929292929293,4.716835016835017,2.512562814070352,0.02896551724137931,0.9296389871441966,5.911784511784512,3.521885521885522
DMO,n30 m5 uniform high,30,5,0,6000,46.241226362971894,46.241226362971894,11.085411219916878,44.52792459708759,0.03847701821693176,8.794864416122437,5973,0.09612794612794613,0.035521885521885524,0.24377104377104378,10.84074074074074,2.0090406830738323,0.5326436781609195,,12.465319865319865,9.216161616161616
DMO,n30 m5 uniform high,30,5,1,6000,46.44554179270195,46.44554179270195,11.047012072371446,44.52792459708759,0.043065496830718815,8.032870292663574,5973,0.10101010101010101,0.033501683501683505,0.24983164983164982,10.698148148148148,1.3393604553825549,0.4916475095785441,,12.668350168350168,8.727946127946128
QI-DMO no-decoherence,n30 m5 uniform high,30,5,0,6000,46.12828191796115,46.12828191796115,11.096935072837349,44.52792459708759,0.035940532494034755,13.014640808105469,5973,0.21296296296296297,0.11481481481481481,0.2308080808080808,4.862962962962963,0.8371002846140968,0.026130268199233714,0.9945629854563045,8.285521885521886,1.4404040404040404
QI-DMO no-decoherence,n30 m5 uniform high,30,5,1,6000,45.87517812091052,45.87517812091052,11.026594403862115,44.52792459708759,0.030256373635501696,11.701505899429321,5973,0.3237373737373737,0.06279461279461279,0.22104377104377104,4.931481481481481,2.0090406830738323,0.0022222222222222222,0.9989027548573621,8.981144781144781,0.8818181818181818
QI-DMO,n30 m5 uniform high,30,5,0,6000,46.192249508869516,46.192249508869516,11.11561270535527,44.52792459708759,0.03737710497045673,14.233381986618042,5973,0.005050505050505051,0.02643097643097643,0.34225589225589226,9.513468013468014,2.343880796919471,0.28528735632183905,0.8664174552119869,11.483501683501684,7.543434343434344
QI-DMO,n30 m5 uniform high,30,5,1,6000,45.3140021595539,45.3140021595539,10.951190009855054,44.52792459708759,0.01765358636359452,10.56572937965393,5973,0.00404040404040404,0.025757575757575757,0.3400673400673401,8.91043771043771,1.6742005692281936,0.37440613026819924,0.8391517979638169,10.390572390572391,7.430303030303031
P-DMO (linear twin),n30 m5 uniform high,30,5,0,6000,46.10431653284873,46.10431653284873,11.062173100226758,44.52792459708759,0.035402322251153,11.466755390167236,5973,0.006228956228956229,0.026094276094276093,0.34225589225589226,9.194949494949494,2.1764607399966516,0.27716475095785437,0.8893383080881719,11.458249158249158,6.931649831649832
P-DMO (linear twin),n30 m5 uniform high,30,5,1,6000,45.81469551326566,45.81469551326566,11.038859858295979,44.52792459708759,0.028898066276869187,12.833248138427734,5973,0.0047138047138047135,0.027104377104377103,0.35723905723905724,9.564814814814815,2.0090406830738323,0.3465900383141763,0.8815827258006137,11.574747474747475,7.554882154882155
