algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
Max-Min,n30 m5 uniform high,30,5,0,15000,45.463277724339434,45.463277724339434,10.961737856219148,44.52792459708759,0.02100598974049246,0.0015826225280761719,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Max-Min,n30 m5 uniform high,30,5,1,15000,45.463277724339434,45.463277724339434,10.961737856219148,44.52792459708759,0.02100598974049246,0.002270221710205078,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Max-Min,n30 m5 uniform high,30,5,2,15000,45.463277724339434,45.463277724339434,10.961737856219148,44.52792459708759,0.02100598974049246,0.002638101577758789,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n30 m5 uniform high,30,5,0,15000,48.17939359683789,48.17939359683789,11.451707443743151,44.52792459708759,0.08200402405436001,0.0029206275939941406,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n30 m5 uniform high,30,5,1,15000,48.17939359683789,48.17939359683789,11.451707443743151,44.52792459708759,0.08200402405436001,0.0018546581268310547,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n30 m5 uniform high,30,5,2,15000,48.17939359683789,48.17939359683789,11.451707443743151,44.52792459708759,0.08200402405436001,0.01033639907836914,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Random,n30 m5 uniform high,30,5,0,15000,46.93000022826709,46.93000022826709,11.197262290045764,44.52792459708759,0.053945375916680624,0.6972057819366455,15000,0.0,0.0,0.0,0.0,0.5333333333333333,0.793103448275862,,,
Random,n30 m5 uniform high,30,5,1,15000,47.51388781941016,47.51388781941016,11.342561872539461,44.52792459708759,0.0670582168232891,1.1488170623779297,15000,0.0,0.0,0.0,0.0,0.5333333333333333,0.8019157088122605,,,
Random,n30 m5 uniform high,30,5,2,15000,47.500303987597945,47.500303987597945,11.29304468146921,44.52792459708759,0.06675315360879783,1.1282336711883545,15000,0.0,0.0,0.0,0.0,0.5333333333333333,0.8040613026819924,,,
PSO,n30 m5 uniform high,30,5,0,15000,45.79566117949302,45.79566117949302,11.038908705000898,44.52792459708759,0.028470596684587998,1.3902864456176758,15000,0.27742150968603874,0.07635270541082165,0.018169672678690716,1.8040080160320642,0.6,0.052873563218390804,,2.519438877755511,1.0885771543086173
PSO,n30 m5 uniform high,30,5,1,15000,45.58376389014705,45.58376389014705,10.979655648062717,44.52792459708759,0.02371184605196073,1.913449764251709,15000,0.34275217100868405,0.04074816299265197,0.02130928523714095,2.0897127588510354,0.9333333333333333,0.017471264367816094,,3.2140280561122245,0.9653974615898464
PSO,n30 m5 uniform high,30,5,2,15000,46.13955720474464,46.13955720474464,11.041650861133744,44.52792459708759,0.036193750825801146,1.0326237678527832,15000,0.23607214428857715,0.06325985303941216,0.02124248496993988,2.714495657982632,1.6,0.06743295019157089,,3.9778223112892452,1.4511690046760186
DMO,n30 m5 uniform high,30,5,0,15000,45.661741023489114,45.661741023489114,11.038220594940245,44.52792459708759,0.025463042274278425,4.345764875411987,14981,0.09692101740294512,0.03768406961178045,0.24323962516733602,10.414390896921017,1.1347707095654496,0.5190038314176245,,12.08326639892905,8.745515394912985
DMO,n30 m5 uniform high,30,5,1,15000,45.419215827996986,45.419215827996986,10.992267854668038,44.52792459708759,0.020016455717940456,4.552477598190308,14982,0.09872824631860777,0.0358768406961178,0.23078982597054887,11.082864792503347,0.8009611533840608,0.5771647509578544,,12.151807228915663,10.013922356091031
DMO,n30 m5 uniform high,30,5,2,15000,46.069550051227196,46.069550051227196,11.058212106493848,44.52792459708759,0.034621542955101885,4.670465707778931,14982,0.09564926372155287,0.0392904953145917,0.23962516733601072,10.40863453815261,0.6007208650380457,0.49103448275862066,,12.02958500669344,8.78768406961178
MRFO,n30 m5 uniform high,30,5,0,15000,47.7760640124218,47.7760640124218,11.36922780689187,44.52792459708759,0.07294612189373535,3.0675323009490967,14970,0.13085676037483265,0.15200803212851405,0.015796519410977244,11.11813922356091,0.7348029392117569,0.02681992337164751,,12.586077643908968,9.65020080321285
MRFO,n30 m5 uniform high,30,5,1,15000,48.11550026904822,48.11550026904822,11.336009893810939,44.52792459708759,0.08056911936549764,3.098818063735962,14970,0.26552878179384204,0.001004016064257028,0.011378848728246318,11.07061579651941,0.33400133600534404,0.0,,12.633065595716198,9.508165997322624
MRFO,n30 m5 uniform high,30,5,2,15000,47.06721264516466,47.06721264516466,11.270836945513464,44.52792459708759,0.05702686732098792,2.9828333854675293,14970,0.11546184738955824,0.100334672021419,0.015194109772423026,11.050267737617135,0.6680026720106881,0.021226053639846743,,12.58380187416332,9.51673360107095
GA,n30 m5 uniform high,30,5,0,15000,44.86112495649189,44.86112495649189,10.878686653463419,44.52792459708759,0.007482952830595096,4.22948694229126,14994,0.053194333066025126,0.06549051055867415,0.24879711307137128,3.606722801390003,0.9337068160597572,0.2042911877394636,,3.9310344827586206,3.2824111200213846
GA,n30 m5 uniform high,30,5,1,15000,44.907441539795,44.907441539795,10.918283398168791,44.52792459708759,0.008523122201213804,5.98628044128418,14994,0.0421678695535953,0.06849772788024593,0.2528067361668003,3.743384121892542,1.0004001600640255,0.21042145593869732,,3.906308473670142,3.5804597701149423
