algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
Max-Min,n30 m5 uniform high,30,5,0,6000,45.463277724339434,45.463277724339434,10.961737856219148,44.52792459708759,0.02100598974049246,0.06360125541687012,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Max-Min,n30 m5 uniform high,30,5,1,6000,45.463277724339434,45.463277724339434,10.961737856219148,44.52792459708759,0.02100598974049246,0.0419774055480957,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n30 m5 uniform high,30,5,0,6000,48.17939359683789,48.17939359683789,11.451707443743151,44.52792459708759,0.08200402405436001,0.143449068069458,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n30 m5 uniform high,30,5,1,6000,48.17939359683789,48.17939359683789,11.451707443743151,44.52792459708759,0.08200402405436001,0.003604888916015625,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Random,n30 m5 uniform high,30,5,0,6000,50.511225666416536,50.511225666416536,11.75663162857611,44.52792459708759,0.13437188289077123,3.3745880126953125,6000,0.0,0.0,0.0,0.0,1.1666666666666667,0.8016858237547893,,,
Random,n30 m5 uniform high,30,5,1,6000,50.10188633599235,50.10188633599235,11.687952815824865,44.52792459708759,0.12517901495164968,1.1352214813232422,6000,0.0,0.0,0.0,0.0,1.0,0.794176245210728,,,
PSO,n30 m5 uniform high,30,5,0,6000,45.79566117949302,45.79566117949302,11.038908705000898,44.52792459708759,0.028470596684587998,1.5683162212371826,6000,0.15644891122278057,0.09095477386934674,0.04522613065326633,2.8541038525963147,1.5,0.07432950191570882,,4.042881072026801,1.6653266331658292
PSO,n30 m5 uniform high,30,5,1,6000,46.490134970457206,46.490134970457206,11.060559324264709,44.52792459708759,0.04406696227422996,3.0531725883483887,6000,0.1710217755443886,0.07839195979899498,0.044221105527638194,3.603350083752094,1.8333333333333333,0.05034482758620689,,4.941708542713568,2.26499162479062
DMO,n30 m5 uniform high,30,5,0,6000,46.241226362971894,46.241226362971894,11.085411219916878,44.52792459708759,0.03847701821693176,4.958248138427734,5973,0.09612794612794613,0.035521885521885524,0.24377104377104378,10.84074074074074,2.0090406830738323,0.5326436781609195,,12.465319865319865,9.216161616161616
DMO,n30 m5 uniform high,30,5,1,6000,46.44554179270195,46.44554179270195,11.047012072371446,44.52792459708759,0.043065496830718815,9.56638479232788,5973,0.10101010101010101,0.033501683501683505,0.24983164983164982,10.698148148148148,1.3393604553825549,0.4916475095785441,,12.668350168350168,8.727946127946128
MRFO,n30 m5 uniform high,30,5,0,6000,50.073247810663815,50.073247810663815,11.68094051148563,44.52792459708759,0.12453585617908912,7.20893669128418,5970,0.06902356902356903,0.013973063973063972,0.029292929292929294,17.028114478114478,0.8375209380234506,0.34597701149425286,,18.72996632996633,15.326262626262626
MRFO,n30 m5 uniform high,30,5,1,6000,47.3260977184982,47.3260977184982,11.217153781898096,44.52792459708759,0.06284086102664718,4.348743200302124,5970,0.22457912457912457,0.006060606060606061,0.03282828282828283,11.604377104377104,0.8375209380234506,0.0,,13.652861952861953,9.555892255892257
GA,n30 m5 uniform high,30,5,0,6000,45.53170168053995,45.53170168053995,10.976875373806466,44.52792459708759,0.022542642454933013,7.430245399475098,5975,0.04188393608074012,0.05803195962994113,0.25820016820857866,4.159125315391085,2.00836820083682,0.16827586206896553,,4.757065948855989,3.5613858055835856
GA,n30 m5 uniform high,30,5,1,6000,45.172567483882425,45.172567483882425,10.950497006441468,44.52792459708759,0.014477272242708521,9.735390663146973,5975,0.03936080740117746,0.0719932716568545,0.26005046257359127,4.116736753574433,2.00836820083682,0.1931800766283525,,4.94078061911171,3.29297006390851
