instance,algo,best_mean,best_sd,best_median,best_min,gap_mean,runtime_s,wasted,move_size,div_end,purity_end,gb_impr_per_1k
n100 m10 uniform high,DMO,86.378,2.055,85.532,84.88,83.55,4.483,0.037,50.416,0.777,,0.646
n100 m10 uniform high,GA,47.833,0.061,47.829,47.774,1.64,7.928,0.033,5.563,0.071,,2.356
n100 m10 uniform high,MRFO,90.282,8.333,91.227,81.517,91.84,3.273,0.076,45.448,0.06,,0.69
n100 m10 uniform high,Max-Min,47.449,0.0,47.449,47.449,0.83,0.011,0.0,0.0,0.0,,0.0
n100 m10 uniform high,Min-Min,50.875,0.0,50.875,50.875,8.11,0.006,0.0,0.0,0.0,,0.0
n100 m10 uniform high,P-MRFO (linear twin),47.699,0.19,47.757,47.487,1.36,20.808,0.197,13.482,0.0,0.978,3.051
n100 m10 uniform high,PSO,60.229,2.289,60.454,57.836,27.98,2.815,0.022,15.373,0.167,,1.756
n100 m10 uniform high,QI-DMO,49.415,0.279,49.565,49.093,5.0,21.221,0.001,23.822,0.15,0.941,2.137
n100 m10 uniform high,QI-MRFO,47.761,0.091,47.723,47.695,1.49,16.285,0.155,10.335,0.0,0.976,2.895
n100 m10 uniform high,Random,89.964,2.215,89.697,87.895,91.17,1.414,0.0,0.0,0.902,,0.444
n30 m5 uniform high,DMO,45.717,0.329,45.662,45.419,2.67,4.523,0.097,10.635,0.529,,0.845
n30 m5 uniform high,GA,44.961,0.135,44.907,44.861,0.97,4.451,0.048,3.666,0.188,,0.934
n30 m5 uniform high,MRFO,47.653,0.535,47.776,47.067,7.02,3.05,0.171,11.08,0.016,,0.579
n30 m5 uniform high,Max-Min,45.463,0.0,45.463,45.463,2.1,0.002,0.0,0.0,0.0,,0.0
n30 m5 uniform high,Min-Min,48.179,0.0,48.179,48.179,8.2,0.005,0.0,0.0,0.0,,0.0
n30 m5 uniform high,P-MRFO (linear twin),44.959,0.114,45.023,44.827,0.97,7.206,0.248,4.345,0.005,0.934,0.891
n30 m5 uniform high,PSO,45.84,0.28,45.796,45.584,2.95,1.445,0.285,2.203,0.046,,1.044
n30 m5 uniform high,QI-DMO,45.354,0.179,45.45,45.147,1.85,6.796,0.01,7.664,0.286,0.861,0.757
n30 m5 uniform high,QI-MRFO,44.981,0.157,44.933,44.853,1.02,6.146,0.209,4.205,0.018,0.922,0.957
n30 m5 uniform high,Random,47.315,0.333,47.5,46.93,6.26,0.991,0.0,0.0,0.8,,0.533
n50 m10 bimodal high,DMO,38.151,3.382,36.231,36.166,51.95,4.842,0.051,24.801,0.648,,0.467
n50 m10 bimodal high,GA,27.896,2.066,27.06,26.38,11.11,5.455,0.023,5.823,0.182,,1.512
n50 m10 bimodal high,MRFO,35.364,3.369,36.917,31.498,40.85,3.448,0.124,31.884,0.162,,0.802
n50 m10 bimodal high,Max-Min,27.058,0.0,27.058,27.058,7.77,0.003,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,Min-Min,37.354,0.0,37.354,37.354,48.78,0.002,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,P-MRFO (linear twin),27.779,0.664,27.909,27.06,10.64,10.891,0.174,7.671,0.012,0.955,2.026
n50 m10 bimodal high,PSO,29.334,1.527,29.983,27.589,16.84,1.31,0.034,9.951,0.136,,1.778
n50 m10 bimodal high,QI-DMO,28.703,1.993,27.713,27.399,14.32,9.06,0.002,12.786,0.248,0.892,1.425
n50 m10 bimodal high,QI-MRFO,27.955,1.892,27.06,26.676,11.34,8.567,0.095,6.89,0.025,0.947,1.804
n50 m10 bimodal high,Random,34.442,1.032,34.037,33.674,37.18,1.809,0.0,0.0,0.901,,0.4
n50 m10 uniform none,DMO,32.999,0.573,33.204,32.351,16.24,11.566,0.046,27.84,0.829,,0.534
n50 m10 uniform none,GA,29.441,0.09,29.445,29.349,3.71,13.516,0.036,4.482,0.165,,1.289
n50 m10 uniform none,MRFO,32.819,0.946,32.426,32.134,15.61,5.037,0.144,27.022,0.011,,0.512
n50 m10 uniform none,Max-Min,28.982,0.0,28.982,28.982,2.1,0.016,0.0,0.0,0.0,,0.0
n50 m10 uniform none,Min-Min,32.291,0.0,32.291,32.291,13.75,0.005,0.0,0.0,0.0,,0.0
n50 m10 uniform none,P-MRFO (linear twin),29.394,0.404,29.259,29.075,3.55,10.223,0.214,7.373,0.002,0.955,1.002
n50 m10 uniform none,PSO,30.723,0.673,30.562,30.145,8.23,2.134,0.053,11.612,0.255,,0.711
n50 m10 uniform none,QI-DMO,30.249,0.104,30.302,30.128,6.56,11.541,0.003,14.266,0.177,0.918,0.779
n50 m10 uniform none,QI-MRFO,29.117,0.141,29.041,29.03,2.57,16.886,0.176,6.299,0.001,0.953,1.202
n50 m10 uniform none,Random,33.125,0.64,33.181,32.459,16.69,2.055,0.0,0.0,0.901,,0.378
