instance,algo,best_mean,best_sd,best_median,best_min,gap_mean,runtime_s,wasted,move_size,div_end,purity_end,gb_impr_per_1k
n100 m10 lognormal low,DMO,44.786,0.89,44.644,42.234,15.79,14.143,0.035,53.323,0.791,,0.308
n100 m10 lognormal low,GA,39.091,0.167,39.073,38.851,1.07,15.876,0.033,5.209,0.084,,1.276
n100 m10 lognormal low,MRFO,43.964,1.506,44.096,39.765,13.67,8.378,0.118,53.791,0.019,,0.356
n100 m10 lognormal low,Max-Min,38.982,0.0,38.982,38.982,0.79,0.03,0.0,0.0,0.0,,0.0
n100 m10 lognormal low,Min-Min,54.6,0.0,54.6,54.6,41.17,0.034,0.0,0.0,0.0,,0.0
n100 m10 lognormal low,P-MRFO (linear twin),39.034,0.183,38.97,38.816,0.92,24.675,0.209,13.379,0.001,0.977,1.576
n100 m10 lognormal low,PSO,40.378,0.832,40.106,39.476,4.4,5.877,0.045,19.628,0.186,,0.931
n100 m10 lognormal low,QI-DMO,39.901,0.297,39.829,39.455,3.16,29.456,0.002,21.539,0.123,0.945,0.967
n100 m10 lognormal low,QI-MRFO,39.09,0.187,39.045,38.914,1.07,27.275,0.166,10.088,0.001,0.975,1.499
n100 m10 lognormal low,Random,44.41,0.731,44.487,42.778,14.82,3.732,0.0,0.0,0.9,,0.38
n100 m10 uniform high,DMO,82.541,5.436,82.131,71.939,75.39,14.63,0.037,49.405,0.681,,0.489
n100 m10 uniform high,GA,47.74,0.176,47.738,47.493,1.44,11.929,0.032,5.38,0.083,,1.72
n100 m10 uniform high,MRFO,86.565,12.048,88.142,58.817,83.94,11.724,0.132,46.266,0.043,,0.516
n100 m10 uniform high,Max-Min,47.449,0.0,47.449,47.449,0.83,0.014,0.0,0.0,0.0,,0.0
n100 m10 uniform high,Min-Min,50.875,0.0,50.875,50.875,8.11,0.016,0.0,0.0,0.0,,0.0
n100 m10 uniform high,P-MRFO (linear twin),47.651,0.168,47.607,47.433,1.25,29.527,0.211,13.411,0.001,0.978,2.246
n100 m10 uniform high,PSO,62.986,6.949,62.866,50.246,33.84,5.191,0.028,12.254,0.131,,1.099
n100 m10 uniform high,QI-DMO,48.925,0.244,48.901,48.436,3.96,41.008,0.001,21.921,0.124,0.945,1.412
n100 m10 uniform high,QI-MRFO,47.589,0.239,47.524,47.314,1.12,29.448,0.166,10.173,0.001,0.975,2.398
n100 m10 uniform high,Random,91.93,6.333,91.942,74.524,95.34,3.453,0.0,0.0,0.9,,0.355
n200 m20 uniform high,DMO,210.576,20.938,211.867,169.267,246.16,12.379,0.019,121.289,0.708,,0.139
n200 m20 uniform high,GA,62.809,0.375,62.784,62.179,3.25,18.649,0.024,7.568,0.046,,3.373
n200 m20 uniform high,MRFO,152.08,11.83,151.837,131.871,150.0,8.974,0.096,125.926,0.037,,0.476
n200 m20 uniform high,Max-Min,61.328,0.0,61.328,61.328,0.82,0.183,0.0,0.0,0.0,,0.0
n200 m20 uniform high,Min-Min,66.633,0.0,66.633,66.633,9.54,0.047,0.0,0.0,0.0,,0.0
n200 m20 uniform high,P-MRFO (linear twin),62.421,0.592,62.301,61.733,2.61,53.381,0.127,27.473,0.001,0.988,5.462
n200 m20 uniform high,PSO,108.375,16.106,109.011,84.268,78.16,8.83,0.017,42.867,0.167,,1.213
n200 m20 uniform high,QI-DMO,66.317,1.229,66.042,64.252,9.02,50.776,0.0,49.669,0.085,0.966,2.267
n200 m20 uniform high,QI-MRFO,62.528,0.557,62.312,61.901,2.79,41.008,0.094,18.907,0.001,0.987,5.058
n200 m20 uniform high,Random,158.413,6.231,158.768,144.721,160.41,5.599,0.0,0.0,0.95,,0.352
n30 m5 uniform high,DMO,45.816,0.385,45.784,44.939,2.89,8.445,0.097,10.384,0.457,,0.535
n30 m5 uniform high,GA,44.915,0.159,44.917,44.638,0.87,6.685,0.048,3.621,0.226,,0.807
n30 m5 uniform high,MRFO,47.432,1.181,47.298,45.021,6.52,4.362,0.187,12.028,0.065,,0.376
n30 m5 uniform high,Max-Min,45.463,0.0,45.463,45.463,2.1,0.024,0.0,0.0,0.0,,0.0
n30 m5 uniform high,Min-Min,48.179,0.0,48.179,48.179,8.2,0.014,0.0,0.0,0.0,,0.0
n30 m5 uniform high,P-MRFO (linear twin),44.94,0.184,44.955,44.645,0.93,21.185,0.262,4.319,0.003,0.935,0.668
n30 m5 uniform high,PSO,45.867,0.824,45.751,44.976,3.01,4.607,0.303,1.896,0.044,,0.564
n30 m5 uniform high,QI-DMO,45.262,0.225,45.232,44.807,1.65,25.841,0.013,7.381,0.235,0.883,0.63
n30 m5 uniform high,QI-MRFO,44.998,0.206,44.93,44.706,1.06,15.666,0.207,4.234,0.003,0.924,0.697
n30 m5 uniform high,Random,47.537,0.84,47.507,45.649,6.76,3.747,0.0,0.0,0.8,,0.36
n50 m10 bimodal high,DMO,35.363,2.617,35.078,31.239,40.85,11.28,0.049,25.051,0.664,,0.46
n50 m10 bimodal high,GA,28.51,1.534,28.289,26.38,13.55,14.722,0.023,5.571,0.191,,1.083
n50 m10 bimodal high,MRFO,35.689,3.012,35.598,30.646,42.15,8.195,0.122,28.359,0.059,,0.424
n50 m10 bimodal high,Max-Min,27.058,0.0,27.058,27.058,7.77,0.015,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,Min-Min,37.354,0.0,37.354,37.354,48.78,0.019,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,P-MRFO (linear twin),28.439,1.777,27.909,25.708,13.27,16.943,0.143,7.713,0.021,0.951,1.335
n50 m10 bimodal high,PSO,28.638,1.61,28.459,26.219,14.06,4.008,0.055,8.05,0.131,,1.091
n50 m10 bimodal high,QI-DMO,29.635,1.614,30.034,26.676,18.04,20.96,0.003,12.324,0.259,0.895,0.855
n50 m10 bimodal high,QI-MRFO,28.117,1.91,27.451,25.597,11.99,23.84,0.113,6.804,0.02,0.946,1.395
n50 m10 bimodal high,Random,33.769,0.875,33.973,31.511,34.5,3.992,0.0,0.0,0.9,,0.339
