instance,algo,best_mean,best_sd,best_median,best_min,gap_mean,runtime_s,wasted,move_size,div_end,purity_end,gb_impr_per_1k
n30 m5 uniform high,DMO,46.343,0.144,46.343,46.241,4.08,7.262,0.099,10.769,0.512,,1.674
n30 m5 uniform high,GA,45.352,0.254,45.352,45.173,1.85,8.583,0.041,4.138,0.181,,2.008
n30 m5 uniform high,MRFO,48.7,1.943,48.7,47.326,9.37,5.779,0.147,14.316,0.173,,0.838
n30 m5 uniform high,Max-Min,45.463,0.0,45.463,45.463,2.1,0.053,0.0,0.0,0.0,,0.0
n30 m5 uniform high,Min-Min,48.179,0.0,48.179,48.179,8.2,0.074,0.0,0.0,0.0,,0.0
n30 m5 uniform high,P-MRFO (linear twin),45.138,0.242,45.138,44.967,1.37,8.385,0.24,4.576,0.014,0.932,2.261
n30 m5 uniform high,PSO,46.143,0.491,46.143,45.796,3.63,2.311,0.164,3.229,0.062,,1.667
n30 m5 uniform high,QI-DMO,45.753,0.621,45.753,45.314,2.75,9.028,0.005,9.212,0.33,0.853,2.009
n30 m5 uniform high,QI-MRFO,45.581,0.679,45.581,45.101,2.37,9.343,0.187,4.688,0.001,0.922,2.345
n30 m5 uniform high,Random,50.307,0.289,50.307,50.102,12.98,2.255,0.0,0.0,0.798,,1.083
n50 m10 bimodal high,DMO,42.968,0.616,42.968,42.532,71.14,7.14,0.054,25.023,0.655,,0.67
n50 m10 bimodal high,GA,28.75,3.352,28.75,26.38,14.51,4.233,0.025,6.248,0.203,,3.598
n50 m10 bimodal high,MRFO,37.332,2.656,37.332,35.454,48.69,3.553,0.112,30.048,0.149,,1.508
n50 m10 bimodal high,Max-Min,27.058,0.0,27.058,27.058,7.77,0.053,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,Min-Min,37.354,0.0,37.354,37.354,48.78,0.01,0.0,0.0,0.0,,0.0
n50 m10 bimodal high,P-MRFO (linear twin),28.139,0.326,28.139,27.909,12.08,5.592,0.136,8.029,0.015,0.955,5.695
n50 m10 bimodal high,PSO,29.484,1.878,29.484,28.156,17.44,1.875,0.007,18.002,0.319,,4.083
n50 m10 bimodal high,QI-DMO,31.146,0.073,31.146,31.094,24.05,7.375,0.001,15.931,0.269,0.897,2.931
n50 m10 bimodal high,QI-MRFO,26.932,0.181,26.932,26.804,7.27,8.42,0.1,7.299,0.012,0.952,5.863
n50 m10 bimodal high,Random,33.856,0.257,33.856,33.674,34.85,1.763,0.0,0.0,0.901,,1.167
