change,algo,strategy,seed,post_gap,auc_gap,vs_maxmin,epoch0_gap
churn,QI-MRFO,restart,0,0.06349409232692263,0.15470568227443202,1.0452166580897138,0.04447783037121954
churn,QI-MRFO,restart,1,0.05708412046079967,0.1979053866680474,1.0387140301799662,0.030569763215201554
churn,QI-MRFO,restart,2,0.040733296848310105,0.1057067078179876,1.0192005293242228,0.031048216084085485
churn,QI-MRFO,restart,3,0.03896868671058531,0.11691150454972835,1.0081916235304522,0.01984229684932734
churn,QI-MRFO,restart,4,0.05050804391604741,0.2168828498051074,1.031668575172023,0.03833270170130556
churn,QI-MRFO,restart,5,0.046701789784396326,0.1067222280147706,1.0279925700473653,0.017162763133198245
churn,QI-MRFO,restart,6,0.04039455507347737,0.15396468321492293,1.014831466942896,0.026598728744171754
churn,QI-MRFO,restart,7,0.04018346869037694,0.10174225445656934,1.0221136628508485,0.0683811368309602
churn,QI-MRFO,restart,8,0.04519017805369858,0.10111225280329642,1.0159254194664988,0.05749953293626187
churn,QI-MRFO,restart,9,0.050051063332785715,0.1649978738722195,1.0342179011814592,0.020232254787472953
churn,QI-MRFO,continue,0,0.03376946020389781,0.056033731734907034,1.0160320039879955,0.04447783037121954
churn,QI-MRFO,continue,1,0.04335271193710851,0.05502096010132719,1.0252401370679212,0.030569763215201554
churn,QI-MRFO,continue,2,0.03453874039725866,0.045432912884922426,1.01312250952146,0.031048216084085485
churn,QI-MRFO,continue,3,0.032185226083384484,0.051993956969803336,1.0016197347511202,0.01984229684932734
churn,QI-MRFO,continue,4,0.04877898143781299,0.06059292733098628,1.0299823504300898,0.03833270170130556
churn,QI-MRFO,continue,5,0.035981632403258114,0.05085576698467799,1.0174604777805,0.017162763133198245
churn,QI-MRFO,continue,6,0.03767224900970054,0.05136545118862066,1.012154404190993,0.026598728744171754
churn,QI-MRFO,continue,7,0.05353243903130968,0.06902820109515453,1.035270485851974,0.0683811368309602
churn,QI-MRFO,continue,8,0.04209435398257536,0.05961336271391191,1.0129370352749363,0.05749953293626187
churn,QI-MRFO,continue,9,0.05059332571945785,0.06187129845632035,1.0347245266035476,0.020232254787472953
churn,QI-MRFO,shock g=0.25,0,0.048094227354505185,0.07858746457418311,1.030118531744244,0.04447783037121954
churn,QI-MRFO,shock g=0.25,1,0.0328784894270356,0.07134719951310567,1.0149415481086952,0.030569763215201554
churn,QI-MRFO,shock g=0.25,2,0.04910386266945029,0.07838323956448659,1.0273804365613495,0.031048216084085485
churn,QI-MRFO,shock g=0.25,3,0.05090564542157776,0.08433829583624915,1.0198032972962519,0.01984229684932734
churn,QI-MRFO,shock g=0.25,4,0.05333972467266072,0.11404556832814743,1.0344601247336136,0.03833270170130556
churn,QI-MRFO,shock g=0.25,5,0.03475921064558983,0.06170306120604992,1.016195714728985,0.017162763133198245
churn,QI-MRFO,shock g=0.25,6,0.031728631651404625,0.08992749790964003,1.0064192670781633,0.026598728744171754
churn,QI-MRFO,shock g=0.25,7,0.04000571798564938,0.08390429442348013,1.0219404339143396,0.0683811368309602
churn,QI-MRFO,shock g=0.25,8,0.04225390733866814,0.0725503004758669,1.0130586537546686,0.05749953293626187
churn,QI-MRFO,shock g=0.25,9,0.04001570055203439,0.0852270510577189,1.0243013771241065,0.020232254787472953
churn,QI-MRFO,shock g=0.5,0,0.08038815220684822,0.12794672849356073,1.061902211192368,0.04447783037121954
churn,QI-MRFO,shock g=0.5,1,0.042559195647811736,0.11563780796508663,1.0244543486458704,0.030569763215201554
churn,QI-MRFO,shock g=0.5,2,0.03273440819789192,0.08613652473512048,1.011354774195217,0.031048216084085485
churn,QI-MRFO,shock g=0.5,3,0.04551707364115488,0.08790593370450009,1.0145377900327766,0.01984229684932734
churn,QI-MRFO,shock g=0.5,4,0.048066322783595836,0.13307532721398807,1.0293135743904798,0.03833270170130556
churn,QI-MRFO,shock g=0.5,5,0.04905237427471222,0.10063785774963914,1.030253833726551,0.017162763133198245
churn,QI-MRFO,shock g=0.5,6,0.047273667262287974,0.1046701480225638,1.0214715427563767,0.026598728744171754
churn,QI-MRFO,shock g=0.5,7,0.0384517887119721,0.09783237202095296,1.0204259779683902,0.0683811368309602
churn,QI-MRFO,shock g=0.5,8,0.0530580399786156,0.08274955823773034,1.0236068179642905,0.05749953293626187
churn,QI-MRFO,shock g=0.5,9,0.029185114495834535,0.09563380045947109,1.0136143498086754,0.020232254787472953
churn,QI-MRFO,shock g=0.75,0,0.05085416565417907,0.1535758578371574,1.032851391414345,0.04447783037121954
churn,QI-MRFO,shock g=0.75,1,0.03995393357557982,0.1391054151124867,1.0218961201586527,0.030569763215201554
churn,QI-MRFO,shock g=0.75,2,0.037851297235584405,0.09061706928039226,1.0163953533769714,0.031048216084085485
churn,QI-MRFO,shock g=0.75,3,0.04826686597722586,0.10060300938496083,1.0172185067574524,0.01984229684932734
churn,QI-MRFO,shock g=0.75,4,0.04626428260711017,0.16523427126175738,1.0274913845846396,0.03833270170130556
churn,QI-MRFO,shock g=0.75,5,0.05089346489400508,0.11750535448391264,1.0320293057250223,0.017162763133198245
churn,QI-MRFO,shock g=0.75,6,0.05328763149225755,0.1481290110166416,1.0274050640727466,0.026598728744171754
churn,QI-MRFO,shock g=0.75,7,0.04570767253844517,0.10836030536471182,1.0275039024020836,0.0683811368309602
churn,QI-MRFO,shock g=0.75,8,0.05437265783557571,0.09683125173167226,1.0248162924196076,0.05749953293626187
churn,QI-MRFO,shock g=0.75,9,0.04748670121029336,0.22052490682244502,1.0316664942385791,0.020232254787472953
churn,MRFO,restart,0,0.742649362110491,0.8690003199407066,1.712157819201345,0.661573553201824
churn,MRFO,restart,1,0.6198749338517313,0.7107094993974001,1.5918577828282439,0.3637826418921461
churn,MRFO,restart,2,0.2973388694688471,0.42372951341002374,1.2705891552751656,0.364173525434947
churn,MRFO,restart,3,0.36949393192803626,0.45780834416895316,1.3287697959613474,0.2757351698555639
churn,MRFO,restart,4,0.6709203165347588,0.801719521694267,1.6412719753866096,0.6942779594531425
churn,MRFO,restart,5,0.42656573669065007,0.5831618445531255,1.4015320343562432,0.5073161873575747
churn,MRFO,restart,6,0.6307671791601566,0.8766515410945506,1.5923967395503957,0.40527578926543967
churn,MRFO,restart,7,0.5405415614664195,0.6410339248190227,1.5139396082513774,0.3532726946815551
churn,MRFO,restart,8,0.30680429185381936,0.37054541562964805,1.2699713403358648,0.2459081507710618
churn,MRFO,restart,9,0.5332924383878354,0.6243919068555526,1.5098602008326785,0.33898878635242763
churn,MRFO,continue,0,0.6188344558930069,0.6580039346999413,1.5920333339624004,0.661573553201824
churn,MRFO,continue,1,0.336637130289662,0.3421869705502506,1.313478904024472,0.3637826418921461
churn,MRFO,continue,2,0.49466847379243084,0.5086146238787249,1.463547966833541,0.364173525434947
churn,MRFO,continue,3,0.41726817717784404,0.4175939892248966,1.3752980151022873,0.2757351698555639
churn,MRFO,continue,4,0.7799334525275816,0.7956401685967431,1.7479296174340149,0.6942779594531425
churn,MRFO,continue,5,0.5872540421691618,0.5901625627235825,1.5584831038072016,0.5073161873575747
churn,MRFO,continue,6,0.5516088896184135,0.566213013186713,1.5136772367345457,0.40527578926543967
