change,algo,strategy,seed,post_gap,auc_gap,vs_maxmin,epoch0_gap
churn,QI-MRFO,restart,0,0.09774146671153668,0.24468553192083928,1.0788080724273383,0.028310827448774854
churn,QI-MRFO,restart,1,0.06907631493030078,0.2970833509696866,1.0505024371206586,0.07333331532801306
churn,QI-MRFO,continue,0,0.05441488680960427,0.09873234262638524,1.0363444067499912,0.028310827448774854
churn,QI-MRFO,continue,1,0.05560351937764314,0.078015101146763,1.0372671601358783,0.07333331532801306
churn,QI-MRFO,shock g=0.25,0,0.05878100497507065,0.1345073141388514,1.0406447641925824,0.028310827448774854
churn,QI-MRFO,shock g=0.25,1,0.051071691954201505,0.12415879870616249,1.0328335367713741,0.07333331532801306
churn,QI-MRFO,shock g=0.5,0,0.04412675673478758,0.1204500247440153,1.0261894844730495,0.028310827448774854
churn,QI-MRFO,shock g=0.5,1,0.06561790149558064,0.19583664649265317,1.0471142565854779,0.07333331532801306
churn,QI-MRFO,shock g=0.75,0,0.07032428324238012,0.23132645631464216,1.0519237317831398,0.028310827448774854
churn,QI-MRFO,shock g=0.75,1,0.06600347721223651,0.23295184197958507,1.0474901721421812,0.07333331532801306
churn,MRFO,restart,0,0.8549966530038301,1.0143573369160568,1.8227959044564888,1.005754212913073
churn,MRFO,restart,1,0.5443140587236941,0.717686560418496,1.517570634379603,0.3384265668935325
churn,MRFO,continue,0,1.0594349152778244,1.069884209508506,2.023800997978169,1.005754212913073
churn,MRFO,continue,1,0.24530645215322394,0.27229650952209367,1.223730832054303,0.3384265668935325
churn,GA,restart,0,0.08941313782526214,0.26408994887233883,1.0706707474264126,0.052649475784198686
churn,GA,restart,1,0.08178304354541774,0.315209860097572,1.0630169525043431,0.04694997756412223
churn,GA,continue,0,0.050394134073360665,0.07774813155271619,1.0324142088432042,0.052649475784198686
churn,GA,continue,1,0.06926224387011298,0.0902756035823278,1.0506768156673507,0.04694997756412223
churn,GA,hypermut,0,0.061627542215413264,0.09822558698903101,1.043422412239448,0.05152120817154403
churn,GA,hypermut,1,0.07678497462245683,0.11959638169071392,1.058086945326339,0.07435499882352967
vm_fail,QI-MRFO,restart,0,0.026916177585609276,0.13807408137190094,1.0168308861600999,0.028310827448774854
vm_fail,QI-MRFO,restart,1,0.02926206763918971,0.13184999038917153,1.0160139520280371,0.07333331532801306
vm_fail,QI-MRFO,continue,0,0.029123398239972863,0.04087414435246093,1.0189980227383366,0.028310827448774854
vm_fail,QI-MRFO,continue,1,0.022868044708758778,0.031012610119804596,1.0096995219850329,0.07333331532801306
vm_fail,QI-MRFO,shock g=0.25,0,0.01873043981160656,0.05303739149294788,1.008710363121949,0.028310827448774854
vm_fail,QI-MRFO,shock g=0.25,1,0.025109614161911674,0.0413186126443089,1.0119167016040875,0.07333331532801306
vm_fail,QI-MRFO,shock g=0.5,0,0.02741901554300853,0.0775926176565018,1.0173070270710567,0.028310827448774854
vm_fail,QI-MRFO,shock g=0.5,1,0.03015513992585016,0.07062748482611839,1.0168954754886266,0.07333331532801306
vm_fail,QI-MRFO,shock g=0.75,0,0.02482795364950866,0.11441714787131116,1.0147446684899117,0.028310827448774854
vm_fail,QI-MRFO,shock g=0.75,1,0.03050453323784292,0.08703600214698755,1.017232747708339,0.07333331532801306
vm_fail,MRFO,restart,0,0.42570648898473873,0.5984723509661237,1.411642931866837,1.005754212913073
vm_fail,MRFO,restart,1,0.2055778751034129,0.33430839392212486,1.1897500689616947,0.3384265668935325
vm_fail,MRFO,continue,0,0.2710467391038348,0.28738787910116825,1.25843348995131,1.005754212913073
vm_fail,MRFO,continue,1,0.12006872528770163,0.1297041381587803,1.1054844655324252,0.3384265668935325
vm_fail,GA,restart,0,0.03603978687304595,0.13056578905611954,1.0258430276062374,0.052649475784198686
vm_fail,GA,restart,1,0.03703908327584436,0.13319460088995055,1.0236658927298845,0.04694997756412223
vm_fail,GA,continue,0,0.031888323664083895,0.04505793161075076,1.0217311331478922,0.052649475784198686
vm_fail,GA,continue,1,0.03040089942909587,0.053931754023798385,1.0171339747046146,0.04694997756412223
vm_fail,GA,hypermut,0,0.032764520232050995,0.09882889043594696,1.022606983464519,0.05152120817154403
vm_fail,GA,hypermut,1,0.04298217003557629,0.07302190435660935,1.0295417170544987,0.07435499882352967
vm_add,QI-MRFO,restart,0,0.1573467125146018,0.3888264950946333,1.1307188467420217,0.028310827448774854
vm_add,QI-MRFO,restart,1,0.17354434833198468,0.40291118077328003,1.1421803831868291,0.07333331532801306
vm_add,QI-MRFO,continue,0,0.07130254814982419,0.0881756042385206,1.0464138268091625,0.028310827448774854
vm_add,QI-MRFO,continue,1,0.08842578018336451,0.11840318726377982,1.059113732904138,0.07333331532801306
vm_add,QI-MRFO,shock g=0.25,0,0.07491279054773732,0.13063953669064915,1.0497674984543388,0.028310827448774854
vm_add,QI-MRFO,shock g=0.25,1,0.0922549118434693,0.15317344064882973,1.062930711182195,0.07333331532801306
vm_add,QI-MRFO,shock g=0.5,0,0.11705917184223594,0.26379114174361407,1.090870034393231,0.028310827448774854
vm_add,QI-MRFO,shock g=0.5,1,0.15342024706591115,0.2805753199923381,1.1227126658848747,0.07333331532801306
vm_add,QI-MRFO,shock g=0.75,0,0.11412781519244841,0.286014991907828,1.0881823064170792,0.028310827448774854
vm_add,QI-MRFO,shock g=0.75,1,0.13649995963051206,0.3261341510790273,1.1060855823960236,0.07333331532801306
vm_add,MRFO,restart,0,0.9310792097783389,1.1414448333203342,1.88636028330131,1.005754212913073
vm_add,MRFO,restart,1,1.2957639786519302,1.5370979491584875,2.233193104955444,0.3384265668935325
vm_add,MRFO,continue,0,1.231958885503398,1.2586772312446493,2.1797747907837746,1.005754212913073
vm_add,MRFO,continue,1,0.9549995666571623,0.9549995666571623,1.9015773199802688,0.3384265668935325
vm_add,GA,restart,0,0.14929664846023688,0.40724404118027335,1.122301104013736,0.052649475784198686
vm_add,GA,restart,1,0.15237146130302642,0.363552427314279,1.1212459716182008,0.04694997756412223
vm_add,GA,continue,0,0.10684180585353154,0.12902818938334049,1.081112122899936,0.052649475784198686
vm_add,GA,continue,1,0.13970323850717417,0.18593422437054247,1.1089541753806749,0.04694997756412223
vm_add,GA,hypermut,0,0.1393367094715901,0.167227376604343,1.1127777881028522,0.05152120817154403
vm_add,GA,hypermut,1,0.1650716848872404,0.23061455459266217,1.1337579361421706,0.07435499882352967
drift,QI-MRFO,restart,0,0.05784153524585185,0.22356933307226684,1.0434716318682362,0.028310827448774854
drift,QI-MRFO,restart,1,0.1138355824324931,0.3357028432425359,1.0915072409756958,0.07333331532801306
drift,QI-MRFO,continue,0,0.05782065508760072,0.10343247449426203,1.043428538264008,0.028310827448774854
drift,QI-MRFO,continue,1,0.05553110630096203,0.12576857371853042,1.0342780169021217,0.07333331532801306
drift,QI-MRFO,shock g=0.25,0,0.05619853900215057,0.1393548932005984,1.0417648086898876,0.028310827448774854
drift,QI-MRFO,shock g=0.25,1,0.05350592985633538,0.1355921830654358,1.032274011338435,0.07333331532801306
drift,QI-MRFO,shock g=0.5,0,0.045863353066317655,0.1097276748450277,1.031641641472099,0.028310827448774854
drift,QI-MRFO,shock g=0.5,1,0.06736729961955887,0.16206561369969677,1.0458108836028723,0.07333331532801306
drift,QI-MRFO,shock g=0.75,0,0.06253931578601069,0.1718970249597572,1.048085960573017,0.028310827448774854
drift,QI-MRFO,shock g=0.75,1,0.0678610947756533,0.25288549064745547,1.0463586686904036,0.07333331532801306
drift,MRFO,restart,0,0.6017373458866488,0.7817087805821006,1.5795170890421335,1.005754212913073
drift,MRFO,restart,1,0.7647386062907822,1.0344563386418604,1.7297563620036336,0.3384265668935325
drift,MRFO,continue,0,0.7054595480409862,0.7858571902129143,1.68181226304943,1.005754212913073
drift,MRFO,continue,1,0.6782875287874793,0.7033300928931701,1.6447720582485226,0.3384265668935325
drift,GA,restart,0,0.09351060728336869,0.2458256282262119,1.0786174917494975,0.052649475784198686
drift,GA,restart,1,0.0841282477746015,0.418374048171312,1.062213606572873,0.04694997756412223
drift,GA,continue,0,0.07325822268423825,0.11608508103688957,1.0586954453842856,0.052649475784198686
drift,GA,continue,1,0.07900573535736928,0.14560154894361138,1.057255001680806,0.04694997756412223
drift,GA,hypermut,0,0.0953417697058316,0.20319136518605402,1.0804944054183303,0.05152120817154403
drift,GA,hypermut,1,0.08293068363099394,0.19875403479996837,1.0611376914439277,0.07435499882352967
