algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
Max-Min,n10 m3 uniform high,10,3,0,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.010874032974243164,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,1,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0012829303741455078,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,2,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0011363029479980469,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,3,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0011370182037353516,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,4,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0013203620910644531,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,5,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.004063844680786133,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,6,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00102996826171875,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,7,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0010218620300292969,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,8,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0033583641052246094,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,9,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0013232231140136719,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,10,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0015904903411865234,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,11,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0016040802001953125,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,12,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0011279582977294922,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,13,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0012192726135253906,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,14,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0012655258178710938,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,15,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.003067493438720703,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,16,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0017533302307128906,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,17,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00128936767578125,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,18,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00037479400634765625,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,19,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00020170211791992188,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,20,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0002551078796386719,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,21,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.000286102294921875,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,22,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00032973289489746094,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,23,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0004265308380126953,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,24,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00039577484130859375,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,25,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00021457672119140625,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,26,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00018453598022460938,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,27,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0008716583251953125,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,28,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0002791881561279297,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,29,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.00026679039001464844,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Random,n10 m3 uniform high,10,3,0,10000,10.194330042144742,10.194330042144742,2.4038856925833008,10.18524780805406,0.000891704773594253,1.4387788772583008,9990,0.0,0.0,0.0,0.0,1.001001001001001,0.652183908045977,,,,17a tiny
Random,n10 m3 uniform high,10,3,1,10000,10.199745499621484,10.199745499621484,2.4046524111421475,10.18524780805406,0.001423400965851812,0.9788210391998291,9990,0.0,0.0,0.0,0.0,0.8008008008008008,0.6641379310344828,,,,17a tiny
