algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
Max-Min,n10 m3 uniform high,10,3,0,6000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0012366771697998047,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,1,6000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0009436607360839844,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Random,n10 m3 uniform high,10,3,0,6000,10.201058190289142,10.201058190289142,2.4049030166080856,10.18524780805406,0.0015522825298939337,1.1013779640197754,6000,0.0,0.0,0.0,0.0,1.5,0.6689655172413793,,,,17a tiny
Random,n10 m3 uniform high,10,3,1,6000,10.199745499621484,10.199745499621484,2.4046524111421475,10.18524780805406,0.001423400965851812,0.8813159465789795,6000,0.0,0.0,0.0,0.0,1.3333333333333333,0.6770114942528735,,,,17a tiny
MRFO,n10 m3 uniform high,10,3,0,6000,10.263271663653942,10.263271663653942,2.4137893730490303,10.18524780805406,0.007660476904468099,2.0941336154937744,5970,0.16632996632996633,0.05,0.02643097643097643,4.074747474747475,0.8375209380234506,0.10206896551724139,,4.0390572390572395,4.110437710437711,17a tiny
MRFO,n10 m3 uniform high,10,3,1,6000,10.256150420083825,10.256150420083825,2.412778138872364,10.18524780805406,0.0069613045618486585,1.4695777893066406,5970,0.3271043771043771,0.00016835016835016836,0.012121212121212121,2.644781144781145,0.16750418760469013,0.0,,3.085185185185185,2.2043771043771043,17a tiny
QI-MRFO,n10 m3 uniform high,10,3,0,6000,10.206638403532349,10.206638403532349,2.4055344938601357,10.18524780805406,0.002100154643402429,3.960831880569458,5970,0.2234006734006734,0.0006734006734006734,0.03771043771043771,2.5547138047138045,1.6750418760469012,0.0,0.8009318356363021,3.15016835016835,1.9592592592592593,17a tiny
QI-MRFO,n10 m3 uniform high,10,3,1,6000,10.191945722545494,10.191945722545494,2.403548349098336,10.18524780805406,0.000657609379532043,4.633809328079224,5970,0.23787878787878788,0.0,0.027104377104377103,2.230808080808081,0.8375209380234506,0.0,0.831228377282775,2.587878787878788,1.8737373737373737,17a tiny
GA,n10 m3 uniform high,10,3,0,6000,10.24953697039578,10.24953697039578,2.4118427667020823,10.18524780805406,0.006311988039297764,4.738132476806641,5975,0.1261564339781329,0.041379310344827586,0.22489486963835156,2.0376787216148022,0.6694560669456067,0.39034482758620687,,2.281965006729475,1.7934746047763201,17a tiny
GA,n10 m3 uniform high,10,3,1,6000,10.191945722545494,10.191945722545494,2.403548349098336,10.18524780805406,0.000657609379532043,2.5213544368743896,5975,0.13406223717409588,0.03986543313708999,0.23296888141295205,2.0124474348191757,1.00418410041841,0.3291954022988506,,2.269515477792732,1.7554658594012782,17a tiny
