exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,401,20000,4000,0.04721522331237793,0.009018810988076865,0.021340167221012396,0.021340167221012396,1.0119779232381496,0.0,0.0,0.0,0.021340167221012396,0.05,,0.009018810988076865,0.009018810988076865,0,churn,0.00865051805252083,0.00865051805252083,0,churn,0.015219503425591484,0.015219503425591484,0,churn,0.015269498817744389,0.015269498817744389,0,churn,0.051042193058510724,0.051042193058510724,0,churn,0.01800154909747406,0.01800154909747406,0,churn,0.012999807095372365,0.012999807095372365,0,churn,0.02133292402709242,0.02133292402709242,0,churn,0.02820534419379287,0.02820534419379287,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|401
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,402,20000,4000,0.02291703224182129,0.009332960487053916,0.015079165243239415,0.020764848567536555,1.005085176018311,9.0,0.1125,0.0,0.020764848567536555,0.05,,0.009332960487053916,0.009332960487053916,0,churn,0.013382897286135346,0.013382897286135346,0,churn,0.010788146541715529,0.056273613136092665,72,churn,0.016592729133548433,0.016592729133548433,0,churn,0.013381320005411396,0.013381320005411396,0,churn,0.010974025536436987,0.010974025536436987,0,churn,0.02101294999451968,0.02101294999451968,0,churn,0.01977568614364916,0.01977568614364916,0,churn,0.014725567304498784,0.014725567304498784,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|402
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,403,20000,4000,0.027380943298339844,0.009608071846750561,0.016225647457229368,0.016225647457229368,1.008957730686514,0.0,0.0,0.0,0.016225647457229368,0.05,,0.009608071846750561,0.009608071846750561,0,churn,0.01174853123461784,0.01174853123461784,0,churn,0.020980976684208362,0.020980976684208362,0,churn,0.014537264396589072,0.014537264396589072,0,churn,0.022508313941682415,0.022508313941682415,0,churn,0.02347231561512411,0.02347231561512411,0,churn,0.010850534826272374,0.010850534826272374,0,churn,0.009067491869504497,0.009067491869504497,0,churn,0.016639751089836268,0.016639751089836268,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|403
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,404,20000,4000,0.023991107940673828,0.007268534893747241,0.018489141612742652,0.018489141612742652,1.010521783154151,0.0,0.0,0.0,0.018489141612742652,0.05,,0.007268534893747241,0.007268534893747241,0,churn,0.014477643440992822,0.014477643440992822,0,churn,0.01656832619701702,0.01656832619701702,0,churn,0.009925278696386751,0.009925278696386751,0,churn,0.010123627379986715,0.010123627379986715,0,churn,0.020355844518655908,0.020355844518655908,0,churn,0.0290867862118097,0.0290867862118097,0,churn,0.006229574834257916,0.006229574834257916,0,churn,0.04114605162283439,0.04114605162283439,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|404
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,405,20000,4000,0.02426290512084961,0.007320026947820328,0.01790999320687757,0.01790999320687757,1.0122924183457576,0.0,0.0,0.0,0.01790999320687757,0.05,,0.007320026947820328,0.007320026947820328,0,churn,0.022157336266939793,0.022157336266939793,0,churn,0.012502289200503978,0.012502289200503978,0,churn,0.023073340612227013,0.023073340612227013,0,churn,0.017070276098592446,0.017070276098592446,0,churn,0.011754427866936628,0.011754427866936628,0,churn,0.00948352642636086,0.00948352642636086,0,churn,0.008899664168881648,0.008899664168881648,0,churn,0.038339085014578195,0.038339085014578195,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|405
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,406,20000,4000,0.024590492248535156,0.00933626783458608,0.016974907904978173,0.016974907904978173,1.008201158657251,0.0,0.0,0.0,0.016974907904978173,0.05,,0.00933626783458608,0.00933626783458608,0,churn,0.015357026355430292,0.015357026355430292,0,churn,0.03701478847057416,0.03701478847057416,0,churn,0.026529339058484917,0.026529339058484917,0,churn,0.009123833558866597,0.009123833558866597,0,churn,0.008275861882821317,0.008275861882821317,0,churn,0.015106943696045805,0.015106943696045805,0,churn,0.015260460515142222,0.015260460515142222,0,churn,0.009131009702460084,0.009131009702460084,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|406
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,407,20000,4000,0.023336410522460938,0.01446466589151278,0.018584055074712245,0.02434167427789761,1.0077186752863572,9.125,0.1140625,0.0,0.02434167427789761,0.05,,0.01446466589151278,0.01446466589151278,0,churn,0.024958738997734015,0.024958738997734015,0,churn,0.009555147955789262,0.055616101581272136,73,churn,0.013769622751717666,0.013769622751717666,0,churn,0.018636472788373295,0.018636472788373295,0,churn,0.029334982365668852,0.029334982365668852,0,churn,0.022930587925873738,0.022930587925873738,0,churn,0.015253741646675485,0.015253741646675485,0,churn,0.014233146165865655,0.014233146165865655,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|407
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,408,20000,4000,0.024686336517333984,0.007860113968795789,0.018575318696058246,0.018575318696058246,1.01001859660208,0.0,0.0,0.0,0.018575318696058246,0.05,,0.007860113968795789,0.007860113968795789,0,churn,0.026178265204131176,0.026178265204131176,0,churn,0.013976939934346308,0.013976939934346308,0,churn,0.018524232555911707,0.018524232555911707,0,churn,0.02115652340355273,0.02115652340355273,0,churn,0.01345083200155876,0.01345083200155876,0,churn,0.014012989547418538,0.014012989547418538,0,churn,0.01731092077245366,0.01731092077245366,0,churn,0.023991846149093103,0.023991846149093103,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|408
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,409,20000,4000,0.022732257843017578,0.007106482787213532,0.014960837017764125,0.014960837017764125,1.0053264157292459,0.0,0.0,0.0,0.014960837017764125,0.05,,0.007106482787213532,0.007106482787213532,0,churn,0.014822085005365618,0.014822085005365618,0,churn,0.013627652953436405,0.013627652953436405,0,churn,0.018397073231365375,0.018397073231365375,0,churn,0.010618279647797421,0.010618279647797421,0,churn,0.014272903131583836,0.014272903131583836,0,churn,0.016074647936257118,0.016074647936257118,0,churn,0.011741789318515519,0.011741789318515519,0,churn,0.020132264917791704,0.020132264917791704,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|409
h11_event_elite,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,410,20000,4000,0.023743629455566406,0.007534436806778124,0.023751037735741,0.023751037735741,1.015288073439211,0.0,0.0,0.0,0.023751037735741,0.05,,0.007534436806778124,0.007534436806778124,0,churn,0.012792121504870902,0.012792121504870902,0,churn,0.02040946604935638,0.02040946604935638,0,churn,0.02995786319111058,0.02995786319111058,0,churn,0.035058171730904766,0.035058171730904766,0,churn,0.04126163893953514,0.04126163893953514,0,churn,0.019576647221130044,0.019576647221130044,0,churn,0.019682997082178192,0.019682997082178192,0,churn,0.011269396166841965,0.011269396166841965,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|410
