exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,501,20000,4000,2.890676259994507,0.000690246511208529,0.003947931669223066,0.009821570463121739,0.998181773683785,6.75,0.084375,0.0,0.008182397917321902,0.05,,0.000690246511208529,0.011093842951776593,0,churn,0.003570630068988294,0.011237233555825664,9,churn,0.002192503203677059,0.006428895303912086,5,churn,0.007925258469096442,0.012985513574991265,7,churn,0.0024375978312697138,0.010885890174041523,6,churn,0.0051546538302079965,0.005234955872702307,0,churn,0.0026109922009905683,0.01130224221180034,12,churn,0.00369545933496341,0.011684396502308639,11,churn,0.0039963584145910405,0.008813436509392094,4,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|501"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,502,20000,4000,2.875044822692871,0.00024229386001431736,0.0045252492213286345,0.010374728078041053,0.9966387458152481,7.75,0.096875,0.0,0.009390282345275782,0.05,,0.00024229386001431736,0.009535925217548943,0,churn,0.004516190487741289,0.010091003133200441,8,churn,0.00378580319747583,0.009001581623579257,7,churn,0.003951542801052116,0.00912855001069782,8,churn,0.005335841260240337,0.01384190322055201,7,churn,0.0025005248799149092,0.008509356733187262,9,churn,0.004581388274565009,0.009024329846404455,7,churn,0.004267987487657759,0.012130156454788063,10,churn,0.007262715381981829,0.011270943601919114,6,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|502"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,503,20000,4000,2.6413745880126953,0.0004525345657725931,0.004095184231030964,0.008639904819635405,0.9985828143741841,6.0,0.075,0.0,0.007859625902362858,0.05,,0.0004525345657725931,0.018057910760201103,0,churn,0.002780599912649085,0.00746222800809634,7,churn,0.0068904242559982625,0.010424192026419086,5,churn,0.004673588236073173,0.007637900895807237,3,churn,0.004809515662689207,0.007485265787183623,4,churn,0.0038994874493206095,0.009687482382541713,6,churn,0.0018474540697798916,0.007597767032914376,8,churn,0.0038518227303467154,0.006965041259623215,4,churn,0.004008581531390769,0.011859361164497659,11,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|503"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,504,20000,4000,2.9661288261413574,0.0005635636192769241,0.0065781175420877,0.01151770978452251,0.9967382326869156,6.25,0.078125,0.0,0.010500804108911879,0.05,,0.0005635636192769241,0.008248303733632875,0,churn,0.013989214121596389,0.016253924564509158,3,churn,0.0017066791279538355,0.008876092027746994,9,churn,0.002431558801053932,0.010792135508518217,11,churn,0.004848110188397764,0.00966322309844532,5,churn,0.006476207586714686,0.010482535314112706,6,churn,0.002352412175553436,0.010329430063822342,12,churn,0.008746602863029796,0.013566746617379328,4,churn,0.012074155472401761,0.012177591081646028,0,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|504"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,505,20000,4000,2.85139799118042,0.0005555206595566026,0.004915824502129452,0.01077372656921024,0.9953689942734736,7.125,0.0890625,0.0,0.009390759322963842,0.05,,0.0005555206595566026,0.01196301604017351,0,churn,0.0027333562972658753,0.0062641942098534955,5,churn,0.0053131779662824695,0.008127774331784474,2,churn,0.003925765757614063,0.009098177493815068,7,churn,0.005419943151928986,0.015606023457393424,13,churn,0.008778144420781776,0.013332213442527892,7,churn,0.006071889675049529,0.014003938990528094,8,churn,0.005616016365244739,0.010690097716720708,6,churn,0.0014683023828681815,0.009067392911058772,9,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|505"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,506,20000,4000,2.977506399154663,0.0005629046897740245,0.00500130489705502,0.00928747273282403,0.9944308207844146,5.375,0.0671875,0.0,0.008374907984561062,0.05,,0.0005629046897740245,0.016669537497753118,0,churn,0.009385969452998334,0.009385969452998334,0,churn,0.005030353312637786,0.009999948764297825,7,churn,0.0031202280724845857,0.012251027261580479,10,churn,0.004716436494669362,0.010385592081018616,7,churn,0.0041342890140750885,0.006517965667678952,3,churn,0.00474488324359574,0.007123955723697184,3,churn,0.004991347586617351,0.00831521761314105,5,churn,0.0038869319993619146,0.010320105298179807,8,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|506"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,507,20000,4000,2.7019803524017334,0.0002039011452094037,0.004735705201372726,0.009549203039305208,0.9949542101362272,6.625,0.08281250000000001,0.0,0.008895175405154512,0.05,,0.0002039011452094037,0.04147733046580647,0,churn,0.003401337280322791,0.006625892767954835,5,churn,0.003822815991395496,0.010387253052683183,10,churn,0.004758279623480092,0.008294246868514918,5,churn,0.0038549967125115566,0.007761674797333735,6,churn,0.005030676349421896,0.010373400219725519,6,churn,0.008617518006354062,0.011188326985866429,4,churn,0.004801629538434272,0.01237111054788517,11,churn,0.0035983881090616426,0.009391719074477873,6,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|507"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,508,20000,4000,2.9021947383880615,0.00022428926139242514,0.005314320065258034,0.009444454276453575,0.9954023272195197,5.875,0.0734375,0.0,0.009001892854917844,0.05,,0.00022428926139242514,0.01442673959804339,0,churn,0.002728363744993018,0.008792330406377398,9,churn,0.004607888172227767,0.015616731883308916,14,churn,0.004551394912270619,0.011101586162431034,10,churn,0.012489435679859162,0.01316346137934145,1,churn,0.0030432078614062727,0.006201084138896595,5,churn,0.006133932518753156,0.006133932518753155,0,churn,0.0030775563717480364,0.005358006612808376,3,churn,0.00588278126080624,0.009188501109711674,5,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|508"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,509,20000,4000,2.9321491718292236,0.00031973719045023805,0.004786176814776043,0.009437865184672174,0.9968061743950019,6.25,0.078125,0.0,0.008707397653261867,0.05,,0.00031973719045023805,0.021115748242807538,0,churn,0.00545182274929591,0.008845915589303697,5,churn,0.0025459371307358517,0.00841358195817115,8,churn,0.0033478710097511904,0.010071885296375871,8,churn,0.008102338480718575,0.010075846740958808,3,churn,0.008184018088024998,0.008184018088025,0,churn,0.0030067052310199763,0.009167679286829617,8,churn,0.004759317797393519,0.011416910840196115,9,churn,0.0028914040312683267,0.009327083677517134,9,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|509"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 churn20 lam=0.05,churn,100,10,510,20000,4000,2.8508052825927734,0.00018192777346777908,0.005825376583586436,0.00901603094633557,0.9941326493210192,3.75,0.046875,0.0,0.008179153420834348,0.05,,0.00018192777346777908,0.008417222582518724,0,churn,0.003090461217826717,0.008534213353630844,4,churn,0.006917193525058071,0.009174003373966344,3,churn,0.0045662665788360045,0.007280003603016449,4,churn,0.007140208762804116,0.008720865485385167,2,churn,0.0023822900085746523,0.012536558765767074,12,churn,0.009017335843348967,0.009017335843348965,0,churn,0.007118613918507428,0.009028073761620306,3,churn,0.006370642813735536,0.00783719338394941,2,"(1+1)-EA+CXM continue, incremental repair|n100 m10 churn20 lam=0.05|510"
