exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,601,20000,4000,0.06566381454467773,0.00954770683726473,0.014860464817500212,0.014860464817500212,1.0058679062820342,0.0,0.0,0.0,0.014860464817500212,0.05,,0.00954770683726473,0.00954770683726473,0,churn,0.012993313764620151,0.012993313764620151,0,churn,0.00975717238909297,0.00975717238909297,0,churn,0.01795324405710418,0.01795324405710418,0,churn,0.03391777519423104,0.03391777519423104,0,churn,0.02054489841467855,0.02054489841467855,0,churn,0.006614561874563683,0.006614561874563683,0,churn,0.011002040986805845,0.011002040986805845,0,churn,0.006100711858905285,0.006100711858905285,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|601
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,602,20000,4000,0.0444941520690918,0.01352893455368545,0.01958206438037248,0.024720864896103156,1.0089695253164086,8.125,0.1015625,0.0,0.024720864896103156,0.05,,0.01352893455368545,0.01352893455368545,0,churn,0.011948409251583641,0.05305881337742904,65,churn,0.01934998857032127,0.01934998857032127,0,churn,0.009220529769836255,0.009220529769836255,0,churn,0.022154739856089584,0.022154739856089584,0,churn,0.04040937490787301,0.04040937490787301,0,churn,0.029989098483110887,0.029989098483110887,0,churn,0.01144392264908547,0.01144392264908547,0,churn,0.012140451555079718,0.012140451555079718,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|602
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,603,20000,4000,0.037994384765625,0.00991078955176043,0.01914232243941495,0.01914232243941495,1.0090338650423583,0.0,0.0,0.0,0.01914232243941495,0.05,,0.00991078955176043,0.00991078955176043,0,churn,0.022244849408015546,0.022244849408015546,0,churn,0.022894669251291185,0.022894669251291185,0,churn,0.026652107465584298,0.026652107465584298,0,churn,0.02580235689985629,0.02580235689985629,0,churn,0.01372740544434326,0.01372740544434326,0,churn,0.012254522349041732,0.012254522349041732,0,churn,0.015319360446088079,0.015319360446088079,0,churn,0.014243308251099214,0.014243308251099214,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|603
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,604,20000,4000,0.039381980895996094,0.005446266044979927,0.017680088995520715,0.022865210731732404,1.0125339006293412,8.25,0.103125,0.0,0.022865210731732404,0.05,,0.005446266044979927,0.005446266044979927,0,churn,0.016553872072625618,0.016553872072625618,0,churn,0.005599367022872123,0.047080340912565646,66,churn,0.012680840098297747,0.012680840098297747,0,churn,0.01936023075856069,0.01936023075856069,0,churn,0.02332174053078188,0.02332174053078188,0,churn,0.01915686403415698,0.01915686403415698,0,churn,0.026796261333879724,0.026796261333879724,0,churn,0.017971536112990953,0.017971536112990953,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|604
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,605,20000,4000,0.03842926025390625,0.010728903253768242,0.017015751859240973,0.017015751859240973,1.0065311965332084,0.0,0.0,0.0,0.017015751859240973,0.05,,0.010728903253768242,0.010728903253768242,0,churn,0.01663976850812747,0.01663976850812747,0,churn,0.015706173177645066,0.015706173177645066,0,churn,0.022952739105200202,0.022952739105200202,0,churn,0.01352134908772834,0.01352134908772834,0,churn,0.010646200680425074,0.010646200680425074,0,churn,0.008787563099940466,0.008787563099940466,0,churn,0.023340238958576304,0.023340238958576304,0,churn,0.024531982256284834,0.024531982256284834,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|605
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,606,20000,4000,0.037938833236694336,0.00868146237657879,0.020715965654818133,0.020715965654818133,1.0108047131636662,0.0,0.0,0.0,0.020715965654818133,0.05,,0.00868146237657879,0.00868146237657879,0,churn,0.030155224543101804,0.030155224543101804,0,churn,0.01800711034126876,0.01800711034126876,0,churn,0.03791145303162104,0.03791145303162104,0,churn,0.025214003853873117,0.025214003853873117,0,churn,0.00870355791725002,0.00870355791725002,0,churn,0.010076101792251827,0.010076101792251827,0,churn,0.025139740792080083,0.025139740792080083,0,churn,0.010520532967098413,0.010520532967098413,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|606
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,607,20000,4000,0.03946328163146973,0.011543350314852156,0.019220103755498437,0.019220103755498437,1.0071680027629424,0.0,0.0,0.0,0.019220103755498437,0.05,,0.011543350314852156,0.011543350314852156,0,churn,0.04491671456381904,0.04491671456381904,0,churn,0.013983213479709305,0.013983213479709305,0,churn,0.028392899595142917,0.028392899595142917,0,churn,0.008164690895016601,0.008164690895016601,0,churn,0.012312944565116689,0.012312944565116689,0,churn,0.009381102331412603,0.009381102331412603,0,churn,0.017507279662147726,0.017507279662147726,0,churn,0.019101984951622623,0.019101984951622623,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|607
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,608,20000,4000,0.03846383094787598,0.007004692944569671,0.01906773839428322,0.024576906884152136,1.0108173236393294,8.75,0.109375,0.0,0.024576906884152136,0.05,,0.007004692944569671,0.007004692944569671,0,churn,0.03346862823348748,0.03346862823348748,0,churn,0.007390809576032,0.05146415749498333,70,churn,0.014893762197550085,0.014893762197550085,0,churn,0.013080956624257766,0.013080956624257766,0,churn,0.02632626839217383,0.02632626839217383,0,churn,0.011388614975333783,0.011388614975333783,0,churn,0.021170635266037862,0.021170635266037862,0,churn,0.024822231889392966,0.024822231889392966,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|608
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,609,20000,4000,0.037999629974365234,0.012217991958425711,0.01675520485095945,0.01675520485095945,1.009127589218187,0.0,0.0,0.0,0.01675520485095945,0.05,,0.012217991958425711,0.012217991958425711,0,churn,0.01082419989883709,0.01082419989883709,0,churn,0.02856948424773786,0.02856948424773786,0,churn,0.016697952731881457,0.016697952731881457,0,churn,0.02169372747575017,0.02169372747575017,0,churn,0.010929834575370034,0.010929834575370034,0,churn,0.01311105193184771,0.01311105193184771,0,churn,0.01872958050032575,0.01872958050032575,0,churn,0.013485807445925556,0.013485807445925556,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|609
h13_event_gamma,Chooser (cheaper of the two),n100 m10 churn20 lam=0.05,churn,100,10,610,20000,4000,0.03819751739501953,0.008918877279033004,0.01787325574632711,0.01787325574632711,1.0091247069184686,0.0,0.0,0.0,0.01787325574632711,0.05,,0.008918877279033004,0.008918877279033004,0,churn,0.031448549740248376,0.031448549740248376,0,churn,0.009526973313073587,0.009526973313073587,0,churn,0.018515794775900138,0.018515794775900138,0,churn,0.012947799371696617,0.012947799371696617,0,churn,0.014795817839695096,0.014795817839695096,0,churn,0.010105733768954217,0.010105733768954217,0,churn,0.02084490861742467,0.02084490861742467,0,churn,0.02480046854362416,0.02480046854362416,0,Chooser (cheaper of the two)|n100 m10 churn20 lam=0.05|610
h13_event_gamma,H12 swarm (c = 1),n100 m10 churn20 lam=0.05,churn,100,10,601,20000,4000,12.179960012435913,0.0006910863892909312,0.005093133550313169,0.008206174258699255,0.9961840033733337,3.875,0.0484375,0.0,0.007526911806738427,0.05,,0.0006910863892909312,0.013107798800482165,0,churn,0.0036400573288315656,0.005798457880324131,3,churn,0.0058565494771950265,0.012300660629784542,9,churn,0.010043377277559301,0.011426789847988068,2,churn,0.006477984890781006,0.008673616185008346,2,churn,0.005616720824490556,0.008942589134779877,4,churn,0.003365134846791857,0.006169630129342297,4,churn,0.0025266866700705986,0.005623487671261399,4,churn,0.003218557086785435,0.006714162591105377,3,H12 swarm (c = 1)|n100 m10 churn20 lam=0.05|601
