exp,algo,family,n,m,dist,het,inst_seed,run_seed,budget,lb,lb2,maxmin,runtime_s,best,makespan,energy_Wh,evals,gap,gap2,ratio_mm,end_impr_reloc,end_impr_swap,end_tied_crit,wasted,neutral,improving,worse,move_size,gb_impr_per_1k,dup_global_frac,touch_crit_frac,x_frac,x_success,late_improving_frac,last_gb_impr_frac,div_end,purity_end,c_end,c_mean,bsf_005,bsf_010,bsf_015,bsf_020,bsf_025,bsf_030,bsf_035,bsf_040,bsf_045,bsf_050,bsf_055,bsf_060,bsf_065,bsf_070,bsf_075,bsf_080,bsf_085,bsf_090,bsf_095,bsf_100,key
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,0,20000,101.37563564637229,101.37563564637225,101.71343701568541,28.999736309051514,134.61655213678839,134.61655213678839,353.3354323275105,19920,0.3278984765764635,0.32789847657646404,1.323488381540277,1015,11296,1,0.0,0.00065359477124183,0.3590749120160885,0.6402714932126696,297.27511312217194,3.6646586345381524,0.0,0.989693313222725,1.0,0.3590749120160885,0.3451985922574158,0.9864457831325302,0.18789655172413794,0.938813646477869,,,327.5935278025454,309.4978597602287,285.8672699240375,268.2458507390068,268.02732407587837,261.0037042457576,232.4580139021956,220.30135756404258,214.012308041493,204.9496356730642,191.04848354689065,185.30257699704242,174.72042360913363,161.2350349900803,159.05797275254437,151.23278268548188,142.63836199640642,135.4782038190586,135.4782038190586,134.61655213678839,QI-DMO+CXM|1000|50|uniform|high|1|0
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,1,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.78358221054077,130.89602507500413,130.89602507500413,347.5546503353652,19920,0.2911980698361049,0.29119806983610547,1.2869098608359721,906,9845,1,0.0,0.0005530417295123177,0.3575666163901458,0.6418803418803419,294.3656108597285,3.0120481927710845,0.0,0.9885369532428356,1.0,0.3575666163901458,0.3411764705882353,0.9728915662650602,0.19694252873563217,0.9463949287200222,,,336.0615248904934,291.37034648728786,286.87012859218544,272.49362249957017,243.21206845084427,212.48101525831902,212.48101525831902,208.11109720106714,187.9590261604811,187.70976795330924,178.23160778422047,168.46519275482947,165.73104612474353,156.28131790670142,147.72687272052482,139.26288253635937,139.26288253635937,134.4676687565291,131.37487214814715,130.89602507500413,QI-DMO+CXM|1000|50|uniform|high|1|1
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,2,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.29811120033264,129.54430541678755,129.54430541678755,343.2664152219485,19920,0.2778642973808399,0.27786429738084045,1.2736203712869352,1374,14853,1,0.0,0.0007541478129713424,0.35857214680744093,0.6406737053795878,294.07596782302664,3.3634538152610443,0.0,0.991151332327803,1.0,0.35857214680744093,0.3419808949220714,1.0,0.1909494252873563,0.9451978154312529,,,335.44651826807694,298.41982582377466,277.3061402831706,254.79664022320952,244.07453220641636,240.47279330062955,227.7351139856502,227.7351139856502,214.576133258409,205.51906540582468,183.81570279167585,175.96133028518707,164.04024631249942,157.03331819805766,153.86170051301391,140.8754035044086,135.19634563209436,132.87798863328777,132.87798863328777,129.54430541678755,QI-DMO+CXM|1000|50|uniform|high|1|2
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,3,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.373026371002197,128.97641628895371,128.97641628895371,344.1412486161776,19920,0.2722624668797242,0.2722624668797248,1.2680371450732122,652,4043,1,0.0,0.0007038712921065862,0.3542483660130719,0.6450477626948216,307.325641025641,2.961847389558233,0.0,0.9884866767219709,1.0,0.3542483660130719,0.3384615384615385,0.9819277108433735,0.19705747126436782,0.9382718354682233,,,331.21548720693755,271.5730825879155,263.59441704223235,225.21045038290114,225.21045038290114,225.21045038290114,225.21045038290114,225.21045038290114,225.1360122746143,206.96948971638935,206.96948971638935,199.74221787211354,180.25815589774604,158.8369615671868,151.5056695194864,143.2924904387723,138.0147741505205,135.5155663100533,129.51821917712164,128.97641628895371,QI-DMO+CXM|1000|50|uniform|high|1|3
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,4,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.205482244491577,125.37720672643981,125.37720672643981,335.8532070461687,19920,0.23675877272712728,0.2367587727271278,1.2326513625442148,1267,10014,1,0.0,0.001005530417295123,0.3579185520361991,0.6410759175465058,304.0425339366516,3.21285140562249,0.0,0.9907491201608849,1.0,0.3579185520361991,0.34338863750628457,0.9909638554216867,0.19399310344827586,0.9432487608966651,,,370.3241884779012,317.2168998948737,291.82491079074333,254.02932727329886,246.92282263765267,221.21925535213333,218.16691003829195,207.68113202952068,199.9067861338082,199.9067861338082,177.28543237204693,159.58962575725204,154.236742917362,147.95421525510204,147.27446735361153,137.5886005343719,133.49883090524585,129.71861577449744,127.98173819878212,125.37720672643981,QI-DMO+CXM|1000|50|uniform|high|1|4
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,5,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.223934173583984,124.50266063181469,124.50266063181469,335.312926504033,19920,0.22813198494869316,0.22813198494869366,1.2240532252647691,1432,8494,1,0.0,0.00065359477124183,0.36163901458019104,0.6377073906485671,304.93061840120663,2.8112449799196786,0.0,0.9899446958270488,1.0,0.36163901458019104,0.3512317747611865,0.9774096385542169,0.13410344827586207,0.9597284718239492,,,332.75587918971576,267.83109791254606,256.740716784736,256.740716784736,249.40184954665528,245.6795899104138,238.97005296005108,238.97005296005108,229.44831010008667,222.7790959648132,207.84444973983173,188.36006637828814,176.7584636575651,167.83497342306927,160.74542619316648,150.95928242737776,141.9083230299987,132.29673001814774,130.72599999946786,124.50266063181469,QI-DMO+CXM|1000|50|uniform|high|1|5
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,6,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.180963277816772,131.889335393882,131.889335393882,349.1858491107807,19920,0.30099638392355305,0.3009963839235536,1.2966756336583445,915,10659,1,0.0,0.0006033182503770739,0.3617898441427853,0.6376068376068376,302.91352438411263,2.7610441767068274,0.0,0.9903469079939669,1.0,0.3617898441427853,0.3435897435897436,1.0,0.18694712643678163,0.9517468567707463,,,350.31837526468024,308.18172678366733,284.8679168262657,274.95686876177547,260.2763899875176,236.8230446729206,236.8230446729206,236.8230446729206,213.56752971204483,213.56752971204483,182.57152692882576,172.20377901997517,160.95138001053388,153.3327681255175,145.08482425734113,140.1372254088802,135.96636148336103,134.62176089061307,132.50161026222662,131.889335393882,QI-DMO+CXM|1000|50|uniform|high|1|6
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,7,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.129392623901367,128.3066829918776,128.3066829918776,342.05553516992813,19920,0.2656560146211921,0.26565601462119265,1.2614526335600202,1479,14807,1,0.0,0.00025138260432378077,0.3557566616390146,0.6439919557566617,304.5938159879336,3.21285140562249,0.0,0.9912016088486677,1.0,0.3557566616390146,0.3434891905480141,0.9909638554216867,0.1747793103448276,0.9472380965265539,,,343.62858272651374,301.47299103224896,248.40604819168888,248.40604819168888,246.498332192006,246.498332192006,228.06503007794817,228.06503007794817,206.99202788367998,195.7069234009054,185.42037908273713,175.2578307150583,164.33969416818744,153.3407538351238,150.77687062141925,138.644439603744,133.6638520281069,133.6638520281069,128.3685203963934,128.3066829918776,QI-DMO+CXM|1000|50|uniform|high|1|7
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,8,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.12152123451233,139.1718570827953,139.1718570827953,363.95539489227355,19920,0.3728333854129135,0.37283338541291405,1.3682740566650338,1153,10760,1,0.0,0.00030165912518853697,0.3557566616390146,0.6439416792357969,303.9938662644545,2.5100401606425704,0.0,0.9922574157868276,1.0,0.3557566616390146,0.3384615384615385,0.9864457831325302,0.22250344827586208,0.9312226240649001,,,352.0891176460301,287.2720811044642,271.2092968126367,271.2092968126367,250.8598532680629,215.91784741028846,215.91784741028846,215.91784741028846,215.91784741028846,196.26242615548244,191.16782043286048,180.68950979024714,171.25256721519702,159.8079628854198,151.09878093766363,151.09878093766363,144.83855990964489,144.62885004956334,142.4669019691078,139.1718570827953,QI-DMO+CXM|1000|50|uniform|high|1|8
h14_scale,QI-DMO+CXM,n1000 m50 uniform high,1000,50,uniform,high,1,9,20000,101.37563564637229,101.37563564637225,101.71343701568541,29.24455499649048,125.41923792481683,125.41923792481683,337.02166997806967,19920,0.23717338120883028,0.2371733812088308,1.2330645940661282,963,9665,1,0.0,0.00065359477124183,0.3592760180995475,0.6400703871292106,303.54283559577675,3.1626506024096384,0.0,0.989492207139266,1.0,0.3592760180995475,0.3420814479638009,0.9683734939759037,0.16638620689655173,0.9514289405131251,,,306.0650595422402,296.27331273450864,263.2213574595068,263.2213574595068,258.0673484878501,238.41432572232452,236.35345567525437,233.68016199398988,222.44438914780972,196.36225130967443,186.58455935653626,169.39507749438147,161.55532779360757,155.2722874006892,143.95702742290308,135.7184676680614,135.7184676680614,130.85146170547134,128.90009233665413,125.41923792481683,QI-DMO+CXM|1000|50|uniform|high|1|9
