exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,101,20000,4000,2.125566005706787,0.01809672765266928,0.024880838574902017,0.03789244513696627,1.0178529644086436,13.5,0.16875,0.0,,0.01809672765266928,0.07922269576415279,0,churn,0.02040702264861188,0.032073114384052456,16,churn,0.03029659689976754,0.04484891767787414,15,churn,0.028580898953404984,0.03342980203160702,8,churn,0.029408092854760953,0.0536536017074513,21,churn,0.015411236691349804,0.027205702126099268,11,churn,0.027258436272711604,0.029279974085827998,9,churn,0.0264581715915789,0.05031250860689186,20,churn,0.02122625268703049,0.032335940475926105,8,GA continue|n100 m10 churn20|101
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,102,20000,4000,1.9696388244628906,0.010393482631380973,0.024221305370391855,0.03915259370442842,1.0136531854427062,12.5,0.15625,0.0,,0.010393482631380973,0.051826355204608425,0,churn,0.03248034564830635,0.06365012969467165,18,churn,0.016824592474244084,0.03295262758913817,16,churn,0.02228382249994681,0.0379050638988605,16,churn,0.031427106148060754,0.03342297831379683,7,churn,0.026445447186413392,0.03688073909376566,11,churn,0.03064821526940385,0.03645877146878811,16,churn,0.012086279357452715,0.029357585196488088,6,churn,0.021574634379306873,0.042592854379918284,10,GA continue|n100 m10 churn20|102
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,103,20000,4000,1.978215217590332,0.014837287314234858,0.025123927804930547,0.03950749924893756,1.0188356603778461,13.125,0.1640625,0.0,,0.014837287314234858,0.043176678965753064,0,churn,0.015268744880357022,0.02906890277793801,13,churn,0.020376265018435313,0.04102501887601835,22,churn,0.02271948005170801,0.034071154070256994,12,churn,0.024060649725172734,0.032164832219906035,9,churn,0.03149942869849152,0.05587924705107745,21,churn,0.02914852192572896,0.05127998949679961,11,churn,0.024250386351702215,0.032036853474630735,11,churn,0.033667945787848604,0.04053399602487329,6,GA continue|n100 m10 churn20|103
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,104,20000,4000,2.1167638301849365,0.018185366919773172,0.02605330492606615,0.04151869425130435,1.0193007188900225,16.0,0.2,0.0,,0.018185366919773172,0.044185872245696395,0,churn,0.020510452043199606,0.039873449148315546,13,churn,0.028061000457747638,0.04708130950174763,22,churn,0.018427795236919033,0.033298862583825306,15,churn,0.020646439499232835,0.0334045602022221,16,churn,0.024287300822300656,0.036595177951484724,12,churn,0.032147063553768195,0.04383118989163455,22,churn,0.033583071039509096,0.0420220569610713,13,churn,0.03076331675585213,0.05604294777013365,15,GA continue|n100 m10 churn20|104
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,105,20000,4000,2.1155362129211426,0.018022195281393715,0.023277511064652416,0.034723276210584825,1.0162110566122968,13.625,0.17031249999999998,0.0,,0.018022195281393715,0.04989345415592794,0,churn,0.026349304881883865,0.03300113353122439,10,churn,0.029357951806584535,0.040716216356838766,17,churn,0.019863534750158122,0.029653801351038997,10,churn,0.0119851319804837,0.03176458511252431,19,churn,0.019123812569973208,0.027732021333305743,10,churn,0.023812626591792233,0.03312434290935211,8,churn,0.02732149255816976,0.043343845493646685,18,churn,0.02840623337817389,0.038450263596747594,17,GA continue|n100 m10 churn20|105
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,106,20000,4000,2.0753777027130127,0.010394244633961556,0.025729839575408177,0.03530419348619855,1.013309062036202,13.625,0.1703125,0.0,,0.010394244633961556,0.040467965467993375,0,churn,0.03299706655956532,0.04590672670533298,20,churn,0.0286295496836389,0.04045295316414139,15,churn,0.029429857670841417,0.03427568367345052,12,churn,0.030230751321074747,0.038986380782409444,10,churn,0.016387863966080326,0.02981647484626342,20,churn,0.02391584765118253,0.025402161220053638,7,churn,0.02217878137572588,0.03851681421012171,15,churn,0.022068998375156277,0.029076353287815326,10,GA continue|n100 m10 churn20|106
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,107,20000,4000,2.16831374168396,0.015078055290995184,0.027106201252330996,0.03811644587954438,1.0160754949025357,15.25,0.190625,0.0,,0.015078055290995184,0.06759608677928618,0,churn,0.03698536676393611,0.045694406592086546,12,churn,0.022595812059451215,0.02641598071393392,7,churn,0.03238323298459164,0.04233651504640342,14,churn,0.0390573295062791,0.05140736180019821,24,churn,0.01836517208000883,0.040374983916444465,24,churn,0.015481936358584091,0.028834713515852338,15,churn,0.028323110541496187,0.031488897110789164,12,churn,0.02365764972430081,0.038378708340647,14,GA continue|n100 m10 churn20|107
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,108,20000,4000,2.041982412338257,0.014372112294617658,0.02549231142050172,0.03714313571763497,1.0165286860516816,14.375,0.1796875,0.0,,0.014372112294617658,0.04528914494472386,0,churn,0.027919175008771654,0.039818931475174596,15,churn,0.022357717636823426,0.03582839046667672,12,churn,0.04395044046179303,0.04970803484733535,19,churn,0.0221255443597518,0.029352683022981906,14,churn,0.027442675610581443,0.040788511252851586,11,churn,0.025499595850859452,0.04217829501711338,14,churn,0.01229394560729812,0.018653603277564067,12,churn,0.022349396828134825,0.04081663638138215,18,GA continue|n100 m10 churn20|108
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,109,20000,4000,2.194286823272705,0.017491117343849887,0.020865990272313218,0.03369609615551857,1.012484581334339,12.5,0.15625,0.0,,0.017491117343849887,0.08298697488759604,0,churn,0.017042836337654115,0.03170331737335201,11,churn,0.024845727870560087,0.02951345273678283,11,churn,0.02201470883011958,0.039721395023705586,19,churn,0.024331036686482965,0.035586746906677034,15,churn,0.019892862656123174,0.03361729786487463,13,churn,0.020263920890158806,0.036779135949156015,10,churn,0.017002665693974687,0.03038937349859121,15,churn,0.02153416321343233,0.03225804989100924,6,GA continue|n100 m10 churn20|109
h6_dynamic,GA continue,n100 m10 churn20,churn,100,10,110,20000,4000,2.05076265335083,0.012230442643520611,0.029178845156590846,0.040328727135049466,1.0206844367282515,12.375,0.1546875,0.0,,0.012230442643520611,0.0578621955636243,0,churn,0.03788651537625174,0.05395093867007982,14,churn,0.02631917562124098,0.03391772829448216,11,churn,0.029928211363366552,0.0452040594996556,14,churn,0.03650170847316795,0.03994780877878541,11,churn,0.02471562255528312,0.04346688647249937,15,churn,0.026074182947346734,0.03554274950567326,11,churn,0.031396037321572985,0.03805829137802924,14,churn,0.0206093075944967,0.032541354481190915,9,GA continue|n100 m10 churn20|110
h6_dynamic,GA+CXM continue,n100 m10 churn20,churn,100,10,101,20000,4000,3.096034288406372,0.013773172328195592,0.03161555931930467,0.04486183901095608,1.0245454531549347,37.125,0.46406249999999993,0.0,,0.013773172328195592,0.05292119104500737,0,churn,0.03624489766668644,0.04730987386533391,44,churn,0.032044947669903144,0.04891033852386132,51,churn,0.02356714675930415,0.04088859507567158,37,churn,0.04449685520978615,0.05702036025649809,42,churn,0.04289926192846678,0.05057090100284833,36,churn,0.024270057510207388,0.03592064730764351,25,churn,0.02750735047611922,0.03720422980156657,28,churn,0.021893957333964063,0.04106976625422532,34,GA+CXM continue|n100 m10 churn20|101
h6_dynamic,GA+CXM continue,n100 m10 churn20,churn,100,10,102,20000,4000,3.0806076526641846,0.022527013530116293,0.033865608599577705,0.04768059708811583,1.0231943887954726,31.625,0.39531249999999996,0.0,,0.022527013530116293,0.04769402327186241,0,churn,0.03471759639417754,0.03944381022795945,12,churn,0.0395680768981833,0.055150435471684404,32,churn,0.038583539622215356,0.05180819594691392,28,churn,0.03674630943654899,0.05388731116916768,41,churn,0.030429204871228438,0.04854929412581789,43,churn,0.03087014430252996,0.047886955975661984,41,churn,0.036629261928966275,0.0466730710513796,26,churn,0.023380735342771772,0.03804570273634169,30,GA+CXM continue|n100 m10 churn20|102
h6_dynamic,GA+CXM continue,n100 m10 churn20,churn,100,10,103,20000,4000,2.998004674911499,0.02270277555432369,0.0357533603835081,0.047854663929111155,1.0294018487923553,33.375,0.41718749999999993,0.0,,0.02270277555432369,0.04639340889702833,0,churn,0.02502461864593583,0.04259001671300019,42,churn,0.03318003642239975,0.042723729045163285,29,churn,0.03039911957475944,0.04879380112086408,33,churn,0.03855126751130764,0.049324546730185805,29,churn,0.03142036754345918,0.0380931717704716,18,churn,0.04782299511915796,0.057847231902945974,43,churn,0.04322122178042624,0.06114383410168203,48,churn,0.036407256470618765,0.04232098004857626,25,GA+CXM continue|n100 m10 churn20|103
