exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,201,20000,4000,1.6949939727783203,0.00035475003515426923,0.005328573691693764,0.02764355834845876,0.9983988856257437,26.125,0.3265625,0.0,0.021734107361499343,0.05,,0.00035475003515426923,0.01360678231553465,0,churn,0.0007778558098580974,0.028519414019461342,33,churn,0.002942667494766411,0.033495926174576106,33,churn,0.0027589293431741456,0.02902350689578181,23,churn,0.002941922050394494,0.026361261328897143,30,churn,0.0028166857004415903,0.02295732509604178,26,churn,0.004905728009167031,0.024035071602502844,22,churn,0.0025211301398114666,0.018120576731886013,21,churn,0.022963670985936883,0.03863538493852304,21,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|201
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,202,20000,4000,1.61466646194458,0.0005819930078725962,0.0027429317964379795,0.024044995797557187,0.9960714910507978,25.875,0.3234375,0.0,0.01895800375742912,0.05,,0.0005819930078725962,0.023507542291860733,0,churn,0.0016039913530824425,0.023441578880375187,27,churn,0.00224837879512919,0.029334813597279255,30,churn,0.0024880461196071257,0.018782015270115766,20,churn,0.0016499581867647475,0.021671237534422093,26,churn,0.002067030805991001,0.020819177288591565,25,churn,0.002368557722607484,0.03610067265029427,38,churn,0.006171256581041103,0.024517058551265233,25,churn,0.003346234807280741,0.017693412608114117,16,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|202
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,203,20000,4000,1.5423803329467773,0.0010582243316602413,0.00317827675500306,0.025787024299327395,0.9942750370519222,24.25,0.303125,0.0,0.018379931095099337,0.05,,0.0010582243316602413,0.04453202300356701,0,churn,0.0031449615343680523,0.020223924835126732,17,churn,0.004999368022823613,0.02223259201828635,20,churn,0.005843517119509983,0.024960300044408648,23,churn,0.001047077120046438,0.027428179911546287,29,churn,0.0023143153621250213,0.027249821891237425,29,churn,0.0015555780757578021,0.029141221020070805,28,churn,0.00220391377995274,0.02985640280329205,26,churn,0.004317483025440827,0.02520375187065086,22,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|203
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,204,20000,4000,1.7179138660430908,0.0006854272307063479,0.003089397384197998,0.024429574500197674,0.9951204223003585,25.875,0.3234375,0.0,0.019308798905236617,0.05,,0.0006854272307063479,0.019087297163406392,0,churn,0.002828521177463173,0.02749089938698026,33,churn,0.002609719493186918,0.0211689066241255,22,churn,0.0047235195763829915,0.024998923663521664,18,churn,0.0020112008417770342,0.029639820191491136,32,churn,0.0013625582307543373,0.022219467188813593,21,churn,0.004499033721175379,0.027015340358146435,30,churn,0.004854315136582252,0.016615628760169657,17,churn,0.0018263108962618948,0.02628760982833315,34,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|204
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,205,20000,4000,1.6479477882385254,0.0003247052806367541,0.0028352882307998107,0.023521998113451396,0.9954747676243205,24.125,0.3015625,0.0,0.017954117212680122,0.05,,0.0003247052806367541,0.019260544599168986,0,churn,0.0017794202272524964,0.02664991789186821,29,churn,0.0039497620164449364,0.021750047667096643,21,churn,0.0022273416464542372,0.028515702010916456,29,churn,0.0025233605297213285,0.026867981482362108,31,churn,0.002372248963308331,0.026805950265372427,30,churn,0.0029951013238440384,0.018197593048147536,17,churn,0.0032338134510332996,0.02299271052785958,22,churn,0.003601257688339818,0.016396082013988202,14,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|205
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,206,20000,4000,1.5352592468261719,0.0020340821586071005,0.002433287063640791,0.023548099985435764,0.9933281442663815,23.875,0.2984375,0.0,0.01738960729715859,0.05,,0.0020340821586071005,0.017853486819017234,0,churn,0.001936518333506441,0.021651806229263337,23,churn,0.004339109766398055,0.017607682301953826,11,churn,0.0014383448471294634,0.023568619437675548,25,churn,0.0024478182918998698,0.034026188618301235,31,churn,0.0017851604508184076,0.019604181276249223,20,churn,0.0026611922425519557,0.0207262177771037,22,churn,0.0032061439569778137,0.025734453999807828,29,churn,0.0016520086198443223,0.02546565024313142,30,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|206
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,207,20000,4000,1.5654489994049072,0.0014683427871193032,0.002856699957225294,0.026412793432450215,0.9963854263881149,27.625,0.3453125,0.0,0.020171155400999657,0.05,,0.0014683427871193032,0.04276552440758835,0,churn,0.0010421285181348022,0.030725431229104174,32,churn,0.003119463652353741,0.03553981492780175,39,churn,0.001876227793388941,0.027547288693787433,29,churn,0.002441720338099987,0.019022983672001392,21,churn,0.004369259389946936,0.027683933309024356,29,churn,0.0036967503615975843,0.03368560039444366,35,churn,0.001828043387157618,0.01683166242740003,20,churn,0.004480006217122743,0.02026563280603894,16,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|207
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,208,20000,4000,1.6152732372283936,0.00026357319028419,0.0034537215396731854,0.02574833941177382,0.9955510174847939,27.75,0.34687500000000004,0.0,0.02085595563757597,0.05,,0.00026357319028419,0.009420422363964074,0,churn,0.005991140831444161,0.018532693068659532,16,churn,0.0033721842752610478,0.03125348880023494,32,churn,0.004633682305843943,0.03291085273076275,38,churn,0.003682415752796176,0.031166456898585364,35,churn,0.002644446600484847,0.023807015383557145,30,churn,0.003357573902894703,0.018223143116111364,17,churn,0.0014486303570453024,0.02876174214844777,30,churn,0.0024996982916153025,0.021331323147831687,24,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|208
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,209,20000,4000,1.5449566841125488,0.0004233031368348647,0.004299981287848318,0.02368801235084069,0.9934253156981601,24.125,0.3015625,0.0,0.019419862749181994,0.05,,0.0004233031368348647,0.005287044331722898,0,churn,0.0022181931078908675,0.0274595513286385,30,churn,0.0019199763562258658,0.03359293821125572,40,churn,0.0016014024011524995,0.022605727738573736,30,churn,0.018648925961488826,0.024667908159290222,8,churn,0.001872333995664716,0.02075890821643561,23,churn,0.002360378156029411,0.025501540663511055,25,churn,0.004564165044658772,0.014966491191401858,14,churn,0.0012144752796755802,0.01995103329761881,23,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|209
h8_migration,(1+1)-EA+CXM continue,n100 m10 churn20 lam=0.05,churn,100,10,210,20000,4000,1.5742762088775635,0.0005731636831062427,0.0036702438618808403,0.024034153121061747,0.9934779369791273,26.5,0.33125,0.0,0.020288832697462334,0.05,,0.0005731636831062427,0.002954385940159309,0,churn,0.002064310795494303,0.027073526492809013,32,churn,0.0025794639875292296,0.0259776272774575,29,churn,0.0017269356875760503,0.02459969011057622,30,churn,0.005716776464435096,0.02127255180869507,21,churn,0.0027386317979772,0.024120212870302825,29,churn,0.006246869593050905,0.01717975950472684,15,churn,0.005174216309464489,0.027267137415040367,28,churn,0.0031147462595194466,0.024782719488886124,28,(1+1)-EA+CXM continue|n100 m10 churn20 lam=0.05|210
