key,problem_set,variant,problem,tasks,vms,task_lengths,vm_heterogeneity,instance_seed,run_seed,budget,makespan_s,energy_Wh,lower_bound_s,lower_bound_pmtn_s,gap_pct,gap_pmtn_pct,runtime_s,evaluations,best_at_005pct_s,best_at_010pct_s,best_at_015pct_s,best_at_020pct_s,best_at_025pct_s,best_at_030pct_s,best_at_035pct_s,best_at_040pct_s,best_at_045pct_s,best_at_050pct_s,best_at_055pct_s,best_at_060pct_s,best_at_065pct_s,best_at_070pct_s,best_at_075pct_s,best_at_080pct_s,best_at_085pct_s,best_at_090pct_s,best_at_095pct_s,best_at_100pct_s
unseen|DMO (original)|80-8-uniform-high|inst801|run1|b20000,unseen,DMO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,1,20000,79.65240917279348,29.456376374928716,65.0566922405783,65.0566922405783,22.43538124908122,22.43538124908122,0.7958877086639404,19926,134.95248785291264,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,100.95473784930597,96.17181629498684,91.6516189012275,87.08657619179057,82.53230251431191,79.65240917279348
unseen|DMO (original)|80-8-uniform-high|inst801|run0|b20000,unseen,DMO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,0,20000,96.31313208779332,34.0497249482106,65.0566922405783,65.0566922405783,48.0449263107773,48.0449263107773,0.7987158298492432,19926,140.31885541199293,137.380798164193,135.31812162949083,135.31812162949083,135.31812162949083,135.31812162949083,135.31812162949083,126.5028026385123,126.5028026385123,126.5028026385123,121.53127898940232,119.2579317162157,115.9879591089284,115.9879591089284,115.44998929957711,113.91642375061,96.31313208779332,96.31313208779332,96.31313208779332,96.31313208779332
unseen|QI-DMO|80-8-uniform-high|inst801|run1|b20000,unseen,QI-DMO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,1,20000,66.85258121113027,26.15587717770395,65.0566922405783,65.0566922405783,2.760498434059344,2.760498434059344,1.9869318008422852,19923,98.12012163561758,81.31850266477491,71.5114831690325,70.1612297063783,70.1612297063783,69.271669799913,68.86299089086671,68.86299089086671,68.831174774978,68.831174774978,68.831174774978,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027,66.85258121113027
unseen|QI-DMO|80-8-uniform-high|inst801|run0|b20000,unseen,QI-DMO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,0,20000,67.59188098431929,26.179584515037504,65.0566922405783,65.0566922405783,3.896891551703725,3.896891551703725,1.9996922016143799,19923,97.6543919590481,92.91841943469431,84.81791207295103,73.51497342278209,70.91050610353086,69.83461360275592,69.6404173911857,68.65034527926169,68.65034527926169,68.65034527926169,68.65034527926169,68.65034527926169,68.53873712701773,68.15538199235102,67.88102539923948,67.88102539923948,67.59188098431929,67.59188098431929,67.59188098431929,67.59188098431929
unseen|QI-DMO + swap in every phase|80-8-uniform-high|inst801|run1|b20000,unseen,QI-DMO + swap in every phase,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,1,20000,67.89875745504246,26.31916560092704,65.0566922405783,65.0566922405783,4.368597782306943,4.368597782306943,2.929417133331299,19923,94.94974369095267,74.66458591863642,72.87028117934584,70.42331171400068,69.93492536289028,68.70644734418943,68.39726145680936,68.39726145680936,68.39726145680936,68.39726145680936,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246,67.89875745504246
unseen|QI-DMO + swap in every phase|80-8-uniform-high|inst801|run0|b20000,unseen,QI-DMO + swap in every phase,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,0,20000,67.30212486181378,26.215835294530795,65.0566922405783,65.0566922405783,3.451501365811709,3.451501365811709,2.9738965034484863,19923,89.33570751379179,82.3626783370918,74.36376734110388,70.06415450737767,70.06415450737767,68.41670649704685,68.41670649704685,67.84100037736371,67.84100037736371,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378,67.30212486181378
unseen|QI-DMO + swap in improving phases|80-8-uniform-high|inst801|run0|b20000,unseen,QI-DMO + swap in improving phases,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,0,20000,67.42450978543698,26.024010550729543,65.0566922405783,65.0566922405783,3.639621787259858,3.639621787259858,2.053492546081543,19923,96.23310597325583,83.49616693597993,72.43534544707799,72.43534544707799,72.10985622725681,68.8386271276998,68.8386271276998,68.8386271276998,68.0973378268406,68.0973378268406,68.0973378268406,68.0973378268406,68.0973378268406,68.0973378268406,68.0973378268406,67.85137675200993,67.85137675200993,67.42450978543698,67.42450978543698,67.42450978543698
unseen|QI-DMO + swap in improving phases|80-8-uniform-high|inst801|run1|b20000,unseen,QI-DMO + swap in improving phases,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,801,1,20000,66.70408998040577,25.9518170637733,65.0566922405783,65.0566922405783,2.532249462876818,2.532249462876818,2.153740406036377,19923,108.04679901421733,94.99955903040959,79.84716113940203,76.86226960090346,70.15554889814848,67.99323918019019,67.99323918019019,67.99323918019019,67.99323918019019,67.99323918019019,67.99323918019019,67.99323918019019,67.99323918019019,67.87736179159675,67.87736179159675,67.87736179159675,66.70408998040577,66.70408998040577,66.70408998040577,66.70408998040577
unseen|DMO (original)|80-8-uniform-high|inst802|run0|b20000,unseen,DMO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,802,0,20000,58.955539501769444,25.867439082308913,40.28211033226054,40.28211033226052,46.356630810759704,46.35663081075976,0.80609130859375,19926,103.17231094610774,103.17231094610774,103.17231094610774,103.17231094610774,103.17231094610774,103.17231094610774,103.17231094610774,92.06147701676835,92.06147701676835,92.06147701676835,92.06147701676835,90.03311796554681,83.60075433100462,67.59178971551412,67.59178971551412,58.955539501769444,58.955539501769444,58.955539501769444,58.955539501769444,58.955539501769444
unseen|DMO (original)|80-8-uniform-high|inst802|run1|b20000,unseen,DMO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,802,1,20000,57.62506765070017,25.663433541801496,40.28211033226054,40.28211033226052,43.0537456339527,43.05374563395275,0.79949951171875,19926,135.74274263592656,125.48851423190209,125.48851423190209,125.48851423190209,125.48851423190209,125.48851423190209,104.72961900149403,96.53661057817322,96.53661057817322,96.53661057817322,96.53661057817322,96.53661057817322,91.81151785649533,71.32256927259498,66.9569342322726,64.22472086808627,57.997146183548566,57.997146183548566,57.62506765070017,57.62506765070017
