key,step,scenario,seed,changes,migration_price,makespan_s,lower_bound_s,gap_pct,cost_gap_pct,migrations_per_change,initial_makespan_s,runtime_s
change|2. keeps its registers|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,2. keeps its registers,Task churn (20% replaced),601,8,0.2,83.36732391081745,81.0334762988832,2.8810026315416595,4.616390557673721,6.75,84.11476048871965,5.9551286697387695
change|1. restart after each change|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,1. restart after each change,Task churn (20% replaced),601,8,0.2,83.68949321775801,81.0334762988832,3.267602124959157,16.040036390214635,49.5,84.11476048871965,6.002683401107788
change|4. + starts from the running schedule|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,4. + starts from the running schedule,Task churn (20% replaced),601,8,0.2,82.03146790944933,81.0334762988832,1.2319459807806312,5.310829881755451,16.125,83.22338122843344,8.687346696853638
change|3. + swap move|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,3. + swap move,Task churn (20% replaced),601,8,0.2,81.52237483065517,81.0334762988832,0.6044362149435436,6.264063188420015,22.5,83.22338122843344,8.799261331558228
change|6. + no noise after small changes|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,6. + no noise after small changes,Task churn (20% replaced),601,8,0.2,81.54606781529748,81.0334762988832,0.631452707111963,1.2288015114585147,2.375,83.22338122843344,7.44321346282959
change|1. restart after each change|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,1. restart after each change,Task churn (20% replaced),602,8,0.2,63.00717837782541,61.3638233392659,2.6821282779985482,15.839558565828865,51.25,68.29604940016281,5.901609420776367
change|2. keeps its registers|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,2. keeps its registers,Task churn (20% replaced),602,8,0.2,62.89264305609051,61.3638233392659,2.478718068051524,4.405786292526578,7.5,68.29604940016281,5.825400114059448
change|5. + event-aware start|Task churn (20% replaced)|price0.2|seed601|K8|b20000-4000,5. + event-aware start,Task churn (20% replaced),601,8,0.2,81.69248304646254,81.0334762988832,0.81230949024552,1.2217405639518852,1.625,83.22338122843344,8.83481764793396
change|3. + swap move|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,3. + swap move,Task churn (20% replaced),602,8,0.2,61.869972445765356,61.3638233392659,0.8316850732175625,6.563483674672041,22.75,67.17240046296372,8.790678977966309
change|6. + no noise after small changes|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,6. + no noise after small changes,Task churn (20% replaced),602,8,0.2,61.847703852316336,61.3638233392659,0.780354035234453,1.7256466046086827,3.75,67.17240046296372,7.528730869293213
change|4. + starts from the running schedule|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,4. + starts from the running schedule,Task churn (20% replaced),602,8,0.2,62.04219629091399,61.3638233392659,1.115396830589953,4.397296090088709,13.0,67.17240046296372,8.807815313339233
change|5. + event-aware start|Task churn (20% replaced)|price0.2|seed602|K8|b20000-4000,5. + event-aware start,Task churn (20% replaced),602,8,0.2,61.80512030010105,61.3638233392659,0.7171422852246211,1.4084761344894214,2.75,67.17240046296372,8.945874691009521
change|1. restart after each change|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,1. restart after each change,Task churn (20% replaced),603,8,0.2,44.69250602144071,43.80880024693162,2.011707003221159,17.280680715295986,59.875,42.03782772151984,5.858831167221069
change|2. keeps its registers|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,2. keeps its registers,Task churn (20% replaced),603,8,0.2,45.2225551797828,43.80880024693162,3.2293249098320542,5.059439952053141,7.125,42.03782772151984,6.016197681427002
change|3. + swap move|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,3. + swap move,Task churn (20% replaced),603,8,0.2,44.23314749653379,43.80880024693162,0.9619767663937219,6.290557548295747,21.125,41.765569900655734,8.731415271759033
change|4. + starts from the running schedule|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,4. + starts from the running schedule,Task churn (20% replaced),603,8,0.2,44.18221380390913,43.80880024693162,0.8532448146590755,5.391377187768513,18.0,41.765569900655734,8.616585731506348
change|6. + no noise after small changes|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,6. + no noise after small changes,Task churn (20% replaced),603,8,0.2,44.096646170644746,43.80880024693162,0.6544814486584872,1.126549433748061,1.875,41.765569900655734,7.627793073654175
change|5. + event-aware start|Task churn (20% replaced)|price0.2|seed603|K8|b20000-4000,5. + event-aware start,Task churn (20% replaced),603,8,0.2,44.193398761998175,43.80880024693162,0.8759383515195528,1.19084126568476,1.25,41.765569900655734,8.710466623306274
change|2. keeps its registers|Task churn (20% replaced)|price0.2|seed604|K8|b20000-4000,2. keeps its registers,Task churn (20% replaced),604,8,0.2,56.20196239322837,54.69332623597475,2.746350771362049,5.182900278539668,9.5,56.329846597447144,5.707948446273804
change|1. restart after each change|Task churn (20% replaced)|price0.2|seed604|K8|b20000-4000,1. restart after each change,Task churn (20% replaced),604,8,0.2,56.69205199565341,54.69332623597475,3.6367311812449663,15.801261908404243,47.0,56.329846597447144,5.921870231628418
change|3. + swap move|Task churn (20% replaced)|price0.2|seed604|K8|b20000-4000,3. + swap move,Task churn (20% replaced),604,8,0.2,55.10674959850847,54.69332623597475,0.7562059573502837,6.1407080303945705,21.375,55.30710830462359,8.756600141525269
change|4. + starts from the running schedule|Task churn (20% replaced)|price0.2|seed604|K8|b20000-4000,4. + starts from the running schedule,Task churn (20% replaced),604,8,0.2,55.135986864155974,54.69332623597475,0.8057685938942828,5.151510189114415,17.25,55.30710830462359,8.628356218338013
change|6. + no noise after small changes|Task churn (20% replaced)|price0.2|seed604|K8|b20000-4000,6. + no noise after small changes,Task churn (20% replaced),604,8,0.2,55.18152508805855,54.69332623597475,0.8938600623890413,1.3662211585412691,1.875,55.30710830462359,7.4789862632751465
