key,problem_set,variant,problem,tasks,vms,task_lengths,vm_heterogeneity,instance_seed,run_seed,budget,makespan_s,energy_Wh,lower_bound_s,lower_bound_pmtn_s,gap_pct,gap_pmtn_pct,runtime_s,evaluations,best_at_005pct_s,best_at_010pct_s,best_at_015pct_s,best_at_020pct_s,best_at_025pct_s,best_at_030pct_s,best_at_035pct_s,best_at_040pct_s,best_at_045pct_s,best_at_050pct_s,best_at_055pct_s,best_at_060pct_s,best_at_065pct_s,best_at_070pct_s,best_at_075pct_s,best_at_080pct_s,best_at_085pct_s,best_at_090pct_s,best_at_095pct_s,best_at_100pct_s
large|QI-MRFO|500-50-uniform-high|inst1|run3|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,3,20000,76.00635607937195,191.42842435280656,53.37641689727649,53.37641689727644,42.39688704778935,42.396887047789484,11.734742164611816,19950,144.32586559198552,124.6047434232941,110.45252746634908,106.90121011324456,104.39280829528394,100.23120922928337,96.99758843639736,93.69419931315561,92.05594437337611,90.54072192895778,86.91055434925102,86.0583286418605,85.06123574325366,84.20210537386312,81.89110460485418,78.39807698026638,76.21390607506584,76.00635607937195,76.00635607937195,76.00635607937195
large|QI-MRFO|500-50-uniform-high|inst1|run0|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,0,20000,77.23424467594697,193.42472631536353,53.37641689727649,53.37641689727644,44.69731983805719,44.697319838057325,11.887050151824951,19950,179.87967551791434,163.5422244466179,153.32973470554998,145.01961088754922,135.89724791248878,131.62634650885016,124.87618081107934,120.148017095688,111.87917521490282,104.15480920718475,98.58883519879697,93.85255674671751,91.97996963878721,90.00322665509692,83.8098962012974,82.55711403717429,81.22726081291634,80.317057017587,78.87212460415535,77.23424467594697
large|QI-MRFO|500-50-uniform-high|inst1|run1|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,1,20000,77.477207460546,193.01298200500142,53.37641689727649,53.37641689727644,45.15250735104933,45.15250735104947,12.009310007095337,19950,159.79114100011225,140.3399989558898,130.8100301882631,124.28443017607216,119.54894530072858,110.8300523870847,106.85763653475192,105.91107542886905,100.56860408237074,95.76026569638526,94.76798022394918,94.43814861722996,94.09571008192906,90.81698864476101,88.15348526234773,87.13272944720752,86.26343734472911,81.37546780335816,78.95430786101991,77.477207460546
large|QI-MRFO|500-50-uniform-high|inst1|run2|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,2,20000,77.58930568063522,194.09712195841334,53.37641689727649,53.37641689727644,45.36252186046266,45.362521860462785,12.044039487838745,19950,170.24529710433617,144.16012447261457,133.26060937900064,124.88452764658493,119.66700957565578,113.2052963205771,109.94196760119912,108.13370517929714,101.896414726544,99.47892063054456,99.47892063054456,97.74755058064842,94.97581644456994,92.46954302760084,90.21685200774134,87.66350547489999,85.00636616107249,83.13125614203065,81.26686620136753,77.58930568063522
large|QI-MRFO|500-50-uniform-high|inst1|run4|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,4,20000,77.34060604478456,193.13768686908838,53.37641689727649,53.37641689727644,44.896586433719264,44.8965864337194,12.050130367279053,19950,187.43318045717945,162.98383684341394,148.9202861839548,138.2709860772285,131.83329926025374,120.25352780559744,107.9656733758479,105.92026817261,103.60640544871114,100.97231158980594,95.03329954045627,91.47635321015004,90.9352070327792,87.25141401971094,85.34444210056843,84.68600232687626,80.23596853939176,78.98554355268323,77.707276515401,77.34060604478456
large|QI-MRFO|500-50-uniform-high|inst1|run5|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,5,20000,79.1993768047012,196.53979534313694,53.37641689727649,53.37641689727644,48.378968481757184,48.378968481757326,12.001746654510498,19950,174.89598775928005,161.0543661669833,153.7540653879193,143.03947897995747,136.0962580242724,130.41776513399407,125.76490189269792,122.01077165804968,115.76653683470646,109.29155301575646,107.16273496898822,103.40086209891388,98.67364608925908,95.3489175033803,94.1208699931801,91.64323509459837,87.06584154146279,86.56506146174692,81.83709190537925,79.1993768047012
large|QI-MRFO|500-50-uniform-high|inst1|run7|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,7,20000,76.91446076589504,192.56255545418165,53.37641689727649,53.37641689727644,44.09820897854155,44.098208978541685,12.141020774841309,19950,181.1829425294663,161.11528517889164,148.5099199398548,137.69999128999936,126.4332851698174,112.81068231277689,108.90554904231274,106.16206600470309,102.85012786402825,99.27336965554701,96.52223682079756,96.18391941015109,92.6919374036589,89.50196989419153,87.51716498061002,86.45888191127132,84.60546225915465,80.89268325261963,80.13544013691137,76.91446076589504
large|QI-MRFO|500-50-uniform-high|inst1|run6|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,6,20000,75.14627140430626,189.22915568255334,53.37641689727649,53.37641689727644,40.785529963403306,40.785529963403434,12.29542589187622,19950,154.1905734831314,135.81060627350692,125.38998762109593,119.46356021779867,112.01130013348495,108.18135610693177,105.56410162475312,99.94750645819418,98.27769571311126,91.62022949601328,86.82064588309325,84.00206934359186,80.58330487640902,78.72796862224237,77.26642416663559,76.72688854312432,76.36306575764702,75.74191138516908,75.72559587514854,75.14627140430626
large|QI-MRFO|500-50-uniform-high|inst1|run9|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,9,20000,80.32927145056154,199.19286898708853,53.37641689727649,53.37641689727644,50.49581092180861,50.495810921808754,11.976230144500732,19950,172.69247388082033,148.66294009265272,137.94545922745712,128.82708271588106,120.1341846918393,118.83971491894982,116.42259130352272,110.99207870299064,108.87273280935722,103.41283492105663,101.08289803041026,98.44387641304928,93.84259950669983,91.54154456562364,88.37398703191973,87.55846931428782,85.79967589603135,84.74181065308824,80.38720272205491,80.32927145056154
large|QI-MRFO|500-50-uniform-high|inst1|run8|b20000,large,QI-MRFO,"500 tasks, 50 VMs, uniform/high",500,50,uniform,high,1,8,20000,71.6516741906641,182.5272906311661,53.37641689727649,53.37641689727644,34.23844902994995,34.238449029950075,12.201616764068604,19950,157.49224629705427,153.26270770100354,136.58307701258795,133.27193145024083,120.74178799090616,117.66583779884219,107.20623078342048,104.03640099089509,96.155420785966,91.08692766339911,90.75070027945209,89.28386415828741,85.8985597637746,79.87872765082167,78.86923703553646,78.77465420605505,77.17353097418405,74.52049163183621,73.69562915863148,71.6516741906641
