key,problem_set,variant,problem,tasks,vms,task_lengths,vm_heterogeneity,instance_seed,run_seed,budget,makespan_s,energy_Wh,lower_bound_s,lower_bound_pmtn_s,gap_pct,gap_pmtn_pct,runtime_s,evaluations,best_at_005pct_s,best_at_010pct_s,best_at_015pct_s,best_at_020pct_s,best_at_025pct_s,best_at_030pct_s,best_at_035pct_s,best_at_040pct_s,best_at_045pct_s,best_at_050pct_s,best_at_055pct_s,best_at_060pct_s,best_at_065pct_s,best_at_070pct_s,best_at_075pct_s,best_at_080pct_s,best_at_085pct_s,best_at_090pct_s,best_at_095pct_s,best_at_100pct_s
unseen|MRFO (original)|80-8-uniform-high|inst101|run1|b20000,unseen,MRFO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,1,20000,59.125442416561604,26.256543890835097,53.92443844595385,53.924438445953854,9.644984946520122,9.644984946520108,0.6087832450866699,19950,65.20463665694132,64.63767634352322,64.63767634352322,64.63767634352322,64.63767634352322,64.63767634352322,64.63767634352322,64.63767634352322,62.76923431145692,62.76923431145692,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604,59.125442416561604
unseen|MRFO (original)|80-8-uniform-high|inst101|run0|b20000,unseen,MRFO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,0,20000,59.84204774903793,26.72355509346793,53.92443844595385,53.924438445953854,10.973891381391113,10.973891381391098,0.625603199005127,19950,67.29268100682675,65.47348426547993,64.6879307299865,61.50471009231057,61.50471009231057,61.50471009231057,61.50471009231057,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793,59.84204774903793
unseen|QI-MRFO|80-8-uniform-high|inst101|run0|b20000,unseen,QI-MRFO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,0,20000,54.23950412746544,25.147283443482745,53.92443844595385,53.924438445953854,0.5842725313261588,0.5842725313261454,2.015437126159668,19950,55.49612269588064,55.01740280522101,54.803889352538555,54.64309260381662,54.49719414149018,54.49719414149018,54.49719414149018,54.49719414149018,54.49719414149018,54.243230845188556,54.243230845188556,54.243230845188556,54.23950412746544,54.23950412746544,54.23950412746544,54.23950412746544,54.23950412746544,54.23950412746544,54.23950412746544,54.23950412746544
unseen|QI-MRFO|80-8-uniform-high|inst101|run1|b20000,unseen,QI-MRFO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,1,20000,54.34071632454868,25.16148339845574,53.92443844595385,53.924438445953854,0.7719651619776269,0.7719651619776137,2.0357320308685303,19950,56.7241649220927,55.024897570646466,55.024897570646466,55.024897570646466,55.024897570646466,54.522175669844394,54.522175669844394,54.522175669844394,54.522175669844394,54.522175669844394,54.522175669844394,54.522175669844394,54.38916540789568,54.38916540789568,54.38916540789568,54.38916540789568,54.38916540789568,54.38916540789568,54.38916540789568,54.34071632454868
unseen|QI-MRFO + swap|80-8-uniform-high|inst101|run1|b20000,unseen,QI-MRFO + swap,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,1,20000,53.98104487727473,25.08646151727581,53.92443844595385,53.924438445953854,0.1049736129892593,0.10497361298924611,3.149259328842163,19950,54.57569193514958,54.1801947641071,54.02610673449571,54.01769831135625,54.01611392220025,54.00280221630149,54.000082607220094,53.995036475681246,53.995036475681246,53.987215821539884,53.987215821539884,53.987215821539884,53.98674798361684,53.98513607960839,53.98104487727473,53.98104487727473,53.98104487727473,53.98104487727473,53.98104487727473,53.98104487727473
unseen|QI-MRFO + swap|80-8-uniform-high|inst101|run0|b20000,unseen,QI-MRFO + swap,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,0,20000,53.95442465767649,25.08898848198667,53.92443844595385,53.924438445953854,0.055607833084247736,0.05560783308423455,3.234306573867798,19950,54.48405443892919,54.049685425004235,54.00008809063403,53.97497684478509,53.954682255950566,53.954682255950566,53.954682255950566,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649,53.95442465767649
unseen|MRFO (original)|80-8-uniform-high|inst102|run0|b20000,unseen,MRFO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,0,20000,76.96699005531528,30.76744771917254,52.62781605711148,52.627816057111474,46.24773707461284,46.247737074612864,0.5968363285064697,19950,78.27556580373084,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528,76.96699005531528
unseen|MRFO (original)|80-8-uniform-high|inst102|run1|b20000,unseen,MRFO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,1,20000,88.60140726651606,34.37944396074633,52.62781605711148,52.627816057111474,68.35471031206424,68.35471031206427,0.5632236003875732,19950,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606,88.60140726651606
unseen|QI-MRFO + swap + Max-Min start|80-8-uniform-high|inst101|run0|b20000,unseen,QI-MRFO + swap + Max-Min start,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,0,20000,53.94335437494007,25.0870477980139,53.92443844595385,53.924438445953854,0.0350785831644464,0.03507858316443322,3.1208605766296387,19951,53.99100659510445,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.974109063857384,53.954361224728075,53.94948302573701,53.94335437494007,53.94335437494007,53.94335437494007,53.94335437494007,53.94335437494007,53.94335437494007,53.94335437494007,53.94335437494007
unseen|QI-MRFO + swap + Max-Min start|80-8-uniform-high|inst101|run1|b20000,unseen,QI-MRFO + swap + Max-Min start,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,101,1,20000,53.949418131173886,25.087009750361975,53.92443844595385,53.924438445953854,0.046323496247578144,0.04632349624756496,3.1411986351013184,19951,54.031862355001394,54.016052421561994,53.99349031236749,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886,53.949418131173886
unseen|QI-MRFO|80-8-uniform-high|inst102|run0|b20000,unseen,QI-MRFO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,0,20000,53.26135820575173,24.296970510830295,52.62781605711148,52.627816057111474,1.2038161491495964,1.20381614914961,1.9937448501586914,19950,61.12062215913841,57.192161729441516,56.207718649810005,54.453211950168324,53.3191000041734,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173,53.26135820575173
unseen|QI-MRFO|80-8-uniform-high|inst102|run1|b20000,unseen,QI-MRFO,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,1,20000,53.18046407400996,24.258239162543653,52.62781605711148,52.627816057111474,1.050106309368318,1.0501063093683316,1.9789612293243408,19950,55.97536966443687,55.97536966443687,54.70418917057098,54.70418917057098,54.22627821219602,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996,53.18046407400996
unseen|QI-MRFO + swap|80-8-uniform-high|inst102|run0|b20000,unseen,QI-MRFO + swap,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,0,20000,52.66530598658185,24.145073079369496,52.62781605711148,52.627816057111474,0.07123595900252483,0.07123595900253833,3.1240127086639404,19950,53.86975531721259,53.138311335105456,52.970774309487325,52.90829234785358,52.82565584139528,52.82565584139528,52.79878601334527,52.781624455184904,52.77610432754119,52.77442915959963,52.69473596884795,52.69168216854785,52.69168216854785,52.691629494881155,52.68922071390604,52.68922071390604,52.68922071390604,52.68802976621227,52.67130887087512,52.66530598658185
unseen|QI-MRFO + swap|80-8-uniform-high|inst102|run1|b20000,unseen,QI-MRFO + swap,"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,102,1,20000,52.66181093393573,24.142272024608918,52.62781605711148,52.627816057111474,0.0645948841718248,0.06459488417183831,3.095282793045044,19950,56.55032779618807,53.341057452000584,52.99666803017204,52.85462505580825,52.766931223328534,52.766931223328534,52.766931223328534,52.766931223328534,52.736632767570626,52.693769622515404,52.67161742043864,52.668446416300256,52.66374442854026,52.66374442854026,52.66374442854026,52.66374442854026,52.66374442854026,52.66355966870069,52.662631948666835,52.66181093393573
unseen|MRFO (original)|80-8-uniform-high|inst103|run1|b20000,unseen,MRFO (original),"80 tasks, 8 VMs, uniform/high",80,8,uniform,high,103,1,20000,54.0200192141975,24.46621236998942,36.009149799981536,36.009149799981536,50.017480318919375,50.017480318919375,0.5779080390930176,19950,60.20888214542025,56.35931612812631,56.35931612812631,56.35931612812631,54.75589319835033,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975,54.0200192141975
