algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,0,20000,29.894998171300283,29.894998171300283,17.115371004847336,25.10693322506205,0.19070688177314812,8.761741399765015,19950,0.6066265060240964,0.0855421686746988,0.018524096385542168,3.862098393574297,0.9022556390977443,0.0,0.9904890979272876,5.775301204819277,1.9488955823293173
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,1,20000,30.231095373100487,30.231095373100487,17.278471355837606,25.10693322506205,0.20409351082845256,9.764366626739502,19950,0.44854417670682734,0.28303212851405624,0.013002008032128514,4.0348393574297186,0.7518796992481203,0.016137931034482758,0.9803675458386039,5.75070281124498,2.318975903614458
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,2,20000,30.11550731086301,30.11550731086301,17.233893350322408,25.10693322506205,0.19948968043621265,14.945152044296265,19950,0.7145582329317269,0.012248995983935742,0.012248995983935742,3.7446285140562248,0.8521303258145363,0.0,0.9815743423452704,5.393072289156627,2.0961847389558232
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,3,20000,30.24917514033006,30.24917514033006,17.212868751286734,25.10693322506205,0.2048136213679399,9.851158857345581,19950,0.6298192771084338,0.058684738955823296,0.01897590361445783,3.769277108433735,1.0025062656641603,0.0013333333333333333,0.9896583687996706,5.676706827309237,1.861847389558233
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,4,20000,30.415939782326966,30.415939782326966,17.316653513897894,25.10693322506205,0.21145579628042344,9.146868467330933,19950,0.5397590361445783,0.14748995983935742,0.021134538152610443,4.096736947791165,1.2531328320802004,0.008689655172413793,0.9823006861107557,5.927911646586345,2.265562248995984
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,5,20000,27.908524993344948,27.908524993344948,16.309508876815848,25.10693322506205,0.11158637907581295,16.48794960975647,19950,0.6330321285140562,0.08408634538152611,0.023644578313253013,3.7714859437751005,1.4035087719298245,0.003908045977011495,0.9899549300280543,5.667670682730924,1.8753012048192772
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,6,20000,29.98325338282059,29.98325338282059,17.191609979521868,25.10693322506205,0.1942220546829246,9.851294994354248,19950,0.45612449799196786,0.20607429718875503,0.02038152610441767,4.8466867469879515,1.3533834586466165,0.0,0.9857900290263796,7.493373493975904,2.2
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,7,20000,27.619094490795767,27.619094490795767,16.244577426659315,25.10693322506205,0.10005846764375213,11.874946117401123,19950,0.6815763052208835,0.025602409638554216,0.017269076305220885,3.6917670682730925,0.8020050125313283,0.0,0.9929111368360097,5.58714859437751,1.7963855421686747
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,8,20000,27.342696894673562,27.342696894673562,15.953567833431471,25.10693322506205,0.08904965212476626,11.47956371307373,19950,0.5318273092369478,0.17329317269076305,0.02178714859437751,4.026706827309237,0.8521303258145363,0.0013333333333333333,0.9936290716273158,5.910140562248996,2.143273092369478
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,9,20000,29.507423823350443,29.507423823350443,17.06215288969664,25.10693322506205,0.17526993674782107,9.006369590759277,19950,0.5287650602409638,0.17063253012048193,0.02384538152610442,4.273544176706827,1.2531328320802004,0.0013333333333333333,0.9858427474214045,6.196385542168675,2.3507028112449797
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,10,20000,29.212612061116495,29.212612061116495,16.809001019168246,25.10693322506205,0.16352769170374443,12.279011011123657,19950,0.6183734939759036,0.08308232931726908,0.027359437751004016,3.9247991967871485,1.4536340852130325,0.0,0.9948529893552941,6.062650602409638,1.7869477911646587
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,11,20000,28.975613370618035,28.975613370618035,16.741186216919008,25.10693322506205,0.1540881202366134,9.414135932922363,19950,0.45778112449799196,0.24683734939759036,0.02213855421686747,4.4065261044176705,1.1528822055137844,0.016689655172413793,0.9757544754251339,6.091265060240964,2.7217871485943776
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,12,20000,28.56465086584386,28.56465086584386,16.531907681106407,25.10693322506205,0.13771963344891014,10.25605320930481,19950,0.49056224899598394,0.19503012048192772,0.01857429718875502,4.286044176706827,0.9523809523809523,0.013195402298850573,0.9778299842481524,6.389156626506024,2.1829317269076305
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,13,20000,29.637324881526766,29.637324881526766,16.88405849125592,25.10693322506205,0.18044384855185827,10.097224473953247,19950,0.6486445783132531,0.06736947791164659,0.012751004016064257,3.7612951807228914,0.5012531328320802,0.005333333333333333,0.9865877607572043,5.51495983935743,2.0076305220883532
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,14,20000,28.542415116742028,28.542415116742028,16.617345948914238,25.10693322506205,0.1368339916661202,10.102869510650635,19950,0.3766566265060241,0.3036646586345382,0.015963855421686747,4.802359437751004,0.9022556390977443,0.01820689655172414,0.9866538312532149,6.562248995983936,3.0424698795180722
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,15,20000,30.66302781587573,30.66302781587573,17.07507660469322,25.10693322506205,0.22129722260413376,10.862797498703003,19950,0.402359437751004,0.30145582329317266,0.01641566265060241,4.8361947791164654,1.0526315789473684,0.027126436781609194,0.9682046969059316,6.579317269076305,3.0930722891566265
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,16,20000,28.36906024776471,28.36906024776471,16.598417036331874,25.10693322506205,0.12992933041484991,12.674012184143066,19950,0.6177208835341366,0.10251004016064257,0.023443775100401607,3.565512048192771,0.9022556390977443,0.0013333333333333333,0.9926413885996893,5.363152610441767,1.7678714859437752
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,17,20000,29.894998171300283,29.894998171300283,17.10259310180687,25.10693322506205,0.19070688177314812,8.383333921432495,19950,0.6375502008032129,0.07941767068273092,0.015612449799196787,3.733082329317269,1.0526315789473684,0.0,0.9922355707650793,5.671084337349398,1.7950803212851405
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,18,20000,32.65781043593366,32.65781043593366,18.096780544748597,25.10693322506205,0.3007486873519954,7.5267040729522705,19950,0.4708333333333333,0.2448293172690763,0.007530120481927711,4.292921686746988,0.45112781954887216,0.010804597701149426,0.9777554663428789,6.039457831325302,2.5463855421686747
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,19,20000,29.758118635547262,29.758118635547262,17.089838752834442,25.10693322506205,0.18525501975057396,13.85931658744812,19950,0.6147088353413654,0.08303212851405622,0.005672690763052208,3.9843373493975904,0.15037593984962405,0.004,0.98383077947102,5.540461847389558,2.4282128514056227
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,20,20000,27.712910841682913,27.712910841682913,16.271509334120886,25.10693322506205,0.10379513870772329,12.491633892059326,19950,0.581726907630522,0.09106425702811245,0.024949799196787147,3.991214859437751,1.1528822055137844,0.0013333333333333333,0.9851178605895947,5.891867469879518,2.090562248995984
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,21,20000,30.24917514033006,30.24917514033006,17.376376894659042,25.10693322506205,0.2048136213679399,7.668349742889404,19950,0.47545180722891567,0.23689759036144578,0.011546184738955823,4.022540160642571,0.7017543859649122,0.013103448275862068,0.9803200344123009,5.701706827309237,2.3433734939759034
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,22,20000,28.407052244358376,28.407052244358376,16.567743289016974,25.10693322506205,0.13144253779279205,10.892501831054688,19950,0.6464357429718876,0.07248995983935742,0.0214859437751004,3.7068775100401608,1.1528822055137844,0.0,0.9945033650430752,5.580421686746988,1.8333333333333333
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,23,20000,29.758118635547262,29.758118635547262,17.14853470819928,25.10693322506205,0.18525501975057396,9.891983032226562,19950,0.5219377510040161,0.17279116465863453,0.021686746987951807,4.140763052208835,1.1027568922305764,0.0026666666666666666,0.9879925850434405,6.096285140562249,2.1852409638554215
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,24,20000,31.75172785509988,31.75172785509988,17.614105695383618,25.10693322506205,0.26465974838396084,8.043504238128662,19950,0.6019076305220884,0.1018574297188755,0.028664658634538154,3.9768574297188755,1.4536340852130325,0.0,0.9912603890833043,6.026807228915662,1.9269076305220882
