algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,0,6000,37.10225167795103,37.10225167795103,19.56405711483607,25.10693322506205,0.4777691622214977,11.116118431091309,5970,0.33754208754208753,0.33585858585858586,0.04158249158249158,5.267340067340068,2.3450586264656614,0.0327816091954023,0.966010829789073,7.564983164983165,2.9696969696969697
QI-MRFO c=0.0,n50 m10 bimodal high,50,10,1,6000,30.035566561465934,30.035566561465934,17.105463391142322,25.10693322506205,0.19630566952255488,7.150930643081665,5970,0.4308080808080808,0.20824915824915824,0.0702020202020202,4.648989898989899,4.187604690117253,0.012229885057471263,0.9716716331441569,6.928619528619529,2.3693602693602696
QI-MRFO c=0.25,n50 m10 bimodal high,50,10,0,6000,30.24917514033006,30.24917514033006,17.241152799359497,25.10693322506205,0.2048136213679399,14.251880407333374,5970,0.3575757575757576,0.1744107744107744,0.055723905723905724,5.091077441077441,3.1825795644891124,0.007908045977011495,0.9835117616479407,7.396632996632997,2.7855218855218857
QI-MRFO c=0.25,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,16.084673109024326,25.10693322506205,0.07779985278850766,12.163116693496704,5970,0.3654882154882155,0.14225589225589225,0.07929292929292929,5.338888888888889,4.355108877721943,0.0026666666666666666,0.9751309115701244,7.556565656565657,3.121212121212121
QI-MRFO c=0.5,n50 m10 bimodal high,50,10,0,6000,30.889202035433225,30.889202035433225,17.233841591950185,25.10693322506205,0.23030565933872174,15.024629592895508,5970,0.16767676767676767,0.37255892255892253,0.04461279461279461,6.318181818181818,3.1825795644891124,0.02864367816091954,0.9655825669003669,8.62962962962963,4.006734006734007
QI-MRFO c=0.5,n50 m10 bimodal high,50,10,1,6000,31.120973246569477,31.120973246569477,17.319526719628765,25.10693322506205,0.23953702220803844,19.90418577194214,5970,0.24966329966329967,0.23047138047138047,0.03518518518518519,5.692760942760943,2.680067001675042,0.014574712643678161,0.9700970292856521,7.696296296296296,3.689225589225589
QI-MRFO c=1.0,n50 m10 bimodal high,50,10,0,6000,26.803750485748118,26.803750485748118,15.955963165164748,25.10693322506205,0.06758361307912683,12.171058893203735,5970,0.09343434343434344,0.11666666666666667,0.09478114478114479,7.6008417508417505,6.197654941373535,0.014160919540229886,0.9511993865495785,10.243434343434343,4.958249158249158
QI-MRFO c=1.0,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,16.030679652648523,25.10693322506205,0.07779985278850766,11.073958158493042,5970,0.1063973063973064,0.1026936026936027,0.08552188552188553,6.996296296296296,5.527638190954774,0.010666666666666666,0.9524373905182846,9.360942760942761,4.631649831649832
QI-MRFO c=2.0,n50 m10 bimodal high,50,10,0,6000,29.88175125494343,29.88175125494343,16.99660067317118,25.10693322506205,0.19017926192256324,13.962379932403564,5970,0.02643097643097643,0.1446127946127946,0.03973063973063973,9.485353535353536,3.1825795644891124,0.04441379310344828,0.9130719043314424,11.815488215488216,7.155218855218855
QI-MRFO c=2.0,n50 m10 bimodal high,50,10,1,6000,27.05759537385895,27.05759537385895,16.038342020197003,25.10693322506205,0.07769416245747301,20.506020307540894,5970,0.024915824915824916,0.08131313131313131,0.06077441077441077,9.51936026936027,4.522613065326633,0.032275862068965516,0.9065334844030765,11.830639730639732,7.208080808080808
QI-MRFO c=4.0,n50 m10 bimodal high,50,10,0,6000,27.908524993344948,27.908524993344948,16.368862214855767,25.10693322506205,0.11158637907581295,15.18362283706665,5970,0.0003367003367003367,0.07037037037037037,0.05101010101010101,14.05016835016835,3.5175879396984926,0.08528735632183908,0.8338538745309755,16.21851851851852,11.881818181818181
QI-MRFO c=4.0,n50 m10 bimodal high,50,10,1,6000,26.37987249916972,26.37987249916972,15.71181537721404,25.10693322506205,0.05070070735827692,7.344090461730957,5970,0.0015151515151515152,0.008754208754208754,0.06717171717171717,14.929461279461279,6.197654941373535,0.06211494252873563,0.8411211049790164,17.82323232323232,12.035690235690236
QI-DMO c=0.0,n50 m10 bimodal high,50,10,0,6000,33.782662706655216,33.782662706655216,18.374689873124705,25.10693322506205,0.3455511433364926,13.839803695678711,5973,0.02356902356902357,0.4632996632996633,0.19090909090909092,11.32979797979798,3.1809810815335675,0.1711264367816092,0.9594896650832992,17.284175084175086,5.375420875420875
QI-DMO c=0.0,n50 m10 bimodal high,50,10,1,6000,28.47236196757469,28.47236196757469,16.568981367265447,25.10693322506205,0.1340438002660249,10.038232564926147,5971,0.08888888888888889,0.1265993265993266,0.2865319865319865,11.778451178451178,3.5169988276670576,0.022436781609195405,0.9942778359668731,19.595286195286196,3.9616161616161616
QI-DMO c=0.25,n50 m10 bimodal high,50,10,0,6000,31.197352889850585,31.197352889850585,17.322562519275795,25.10693322506205,0.24257919556296115,13.556600332260132,5970,0.0006734006734006734,0.10286195286195286,0.33047138047138047,15.976767676767677,3.3500837520938025,0.2612413793103448,0.9032152537289136,20.857239057239056,11.096296296296297
QI-DMO c=0.25,n50 m10 bimodal high,50,10,1,6000,31.09415252971094,31.09415252971094,17.41808451044505,25.10693322506205,0.23846876283051457,13.358609914779663,5970,0.0006734006734006734,0.19528619528619529,0.28535353535353536,15.885690235690236,2.512562814070352,0.27770114942528734,0.8913353250076043,21.086531986531988,10.684848484848485
QI-DMO c=0.5,n50 m10 bimodal high,50,10,0,6000,31.988044937900753,31.988044937900753,17.685692839913248,25.10693322506205,0.27407217166491255,14.01515817642212,5970,0.00016835016835016836,0.055723905723905724,0.3409090909090909,19.847979797979797,2.0100502512562812,0.3627126436781609,0.8390059621398392,23.632659932659934,16.063299663299663
QI-DMO c=0.5,n50 m10 bimodal high,50,10,1,6000,29.89156797802274,29.89156797802274,16.840128663951745,25.10693322506205,0.19057025842505554,10.427730321884155,5970,0.0,0.017676767676767676,0.37104377104377106,19.496632996632997,3.0150753768844223,0.48363218390804597,0.796429774158172,23.272390572390574,15.720875420875421
QI-DMO c=1.0,n50 m10 bimodal high,50,10,0,6000,30.922465894761327,30.922465894761327,17.48679348184005,25.10693322506205,0.23163054673257108,11.513871669769287,5970,0.0,0.007575757575757576,0.37053872053872056,23.35959595959596,1.8425460636515913,0.5122758620689656,0.7334875125814739,26.24915824915825,20.47003367003367
QI-DMO c=1.0,n50 m10 bimodal high,50,10,1,6000,29.995559620983236,29.995559620983236,17.111306964993688,25.10693322506205,0.19471220766386946,8.159464120864868,5970,0.0,0.005723905723905724,0.3656565656565657,23.134680134680135,1.8425460636515913,0.5835402298850575,0.720949825863666,25.51010101010101,20.75925925925926
QI-DMO c=2.0,n50 m10 bimodal high,50,10,0,6000,31.57506292357043,31.57506292357043,17.668122329901596,25.10693322506205,0.25762324854760893,9.517052173614502,5970,0.0,0.0023569023569023568,0.36767676767676766,27.550505050505052,1.8425460636515913,0.7423908045977012,0.5816759270943119,28.965656565656566,26.135353535353534
QI-DMO c=2.0,n50 m10 bimodal high,50,10,1,6000,31.790004969526777,31.790004969526777,17.559551099639684,25.10693322506205,0.26618431190128794,10.559334516525269,5970,0.0,0.0025252525252525255,0.3632996632996633,28.173905723905722,1.0050251256281406,0.7296091954022988,0.6034460114386174,29.70774410774411,26.64006734006734
QI-DMO c=4.0,n50 m10 bimodal high,50,10,0,6000,32.582274238041485,32.582274238041485,18.161732231258807,25.10693322506205,0.2977401081195156,9.773972034454346,5970,0.0,0.0015151515151515152,0.36313131313131314,32.148148148148145,2.0100502512562812,0.8198160919540229,0.4725034674296758,33.16498316498316,31.13131313131313
QI-DMO c=4.0,n50 m10 bimodal high,50,10,1,6000,32.570089779499625,32.570089779499625,17.808589165048758,25.10693322506205,0.29725480557648354,9.563220262527466,5970,0.0,0.0011784511784511784,0.3696969696969697,32.425252525252525,1.6750418760469012,0.7927356321839081,0.5042947650013074,33.24814814814815,31.602356902356902
QI-MRFO P=15,n50 m10 bimodal high,50,10,0,6000,29.996545296212137,29.996545296212137,17.102529192899365,25.10693322506205,0.19475146674900204,9.201760292053223,5985,0.09380234505862646,0.24690117252931323,0.020770519262981575,7.426633165829146,3.1746031746031744,0.029333333333333333,0.9352393173215677,9.083417085427136,5.769849246231156
QI-MRFO P=15,n50 m10 bimodal high,50,10,1,6000,30.90278927709811,30.90278927709811,17.294250944543744,25.10693322506205,0.23084683422229213,9.334184408187866,5985,0.08023450586264656,0.2613065326633166,0.030653266331658293,7.812562814070351,3.1746031746031744,0.02914285714285714,0.9220735186302382,9.40067001675042,6.224455611390285
QI-MRFO P=60,n50 m10 bimodal high,50,10,0,6000,29.758118635547262,29.758118635547262,17.104181632002753,25.10693322506205,0.18525501975057396,7.819830656051636,5940,0.09982993197278911,0.21768707482993196,0.05935374149659864,8.49047619047619,2.861952861952862,0.026474576271186438,0.9424894089635095,11.764965986394557,5.215986394557823
QI-MRFO P=60,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,16.064320853659105,25.10693322506205,0.07779985278850766,6.244583606719971,5940,0.05901360544217687,0.06785714285714285,0.1695578231292517,8.186224489795919,6.734006734006734,0.009988700564971751,0.9491798030419921,10.72891156462585,5.643537414965986
QI-MRFO S=1.0,n50 m10 bimodal high,50,10,0,6000,27.908524993344948,27.908524993344948,16.34104379843344,25.10693322506205,0.11158637907581295,6.531505584716797,5970,0.08787878787878788,0.24865319865319865,0.03686868686868687,6.483333333333333,3.5175879396984926,0.027724137931034485,0.9417718056485425,9.057575757575757,3.909090909090909
QI-MRFO S=1.0,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,15.9767690435182,25.10693322506205,0.07779985278850766,8.911789894104004,5970,0.08888888888888889,0.12323232323232323,0.09562289562289562,6.240404040404041,6.365159128978225,0.02381609195402299,0.9442452922478708,8.515824915824917,3.964983164983165
QI-MRFO S=3.0,n50 m10 bimodal high,50,10,0,6000,30.90278927709811,30.90278927709811,17.45563846834259,25.10693322506205,0.23084683422229213,9.07135558128357,5970,0.07003367003367003,0.21616161616161617,0.06565656565656566,8.781481481481482,4.522613065326633,0.022942528735632184,0.9362556770062996,11.085521885521885,6.477441077441077
QI-MRFO S=3.0,n50 m10 bimodal high,50,10,1,6000,26.36799617011701,26.36799617011701,15.829407032218905,25.10693322506205,0.05022767750049819,11.786080837249756,5970,0.08047138047138047,0.09057239057239057,0.09915824915824915,8.036195286195285,5.527638190954774,0.008,0.9472721196463275,10.016498316498316,6.055892255892256
