A,B,instance,gap A %,gap B %,diff (A-B) pp,CI95 lo,CI95 hi,p,cliffs_delta,A12 (P[A better]),p_holm
QI-MRFO,MRFO,n30 m5 uniform high,1.0174659645021442,7.018070286007363,-6.000604321505219,-6.645817543085379,-4.7925025777117165,0.009997189377952794,-1.0,1.0,0.03998875751181118
QI-MRFO,MRFO,n50 m10 bimodal high,11.343945560001428,40.854553858873494,-29.510608298872068,-43.81783969383006,-5.455409778112087,0.13490491425325604,-1.0,1.0,0.13490491425325604
QI-MRFO,MRFO,n100 m10 uniform high,1.4886654330408624,91.84122987681943,-90.35256444377858,-107.10978424402286,-71.5062031628826,0.012822477112112336,-1.0,1.0,0.03998875751181118
QI-MRFO,MRFO,n50 m10 uniform none,2.5712552558299127,15.613241819773796,-13.041986563943881,-17.110744043085056,-10.932925895431772,0.02348856553824028,-1.0,1.0,0.04697713107648056
QI-MRFO,GA,n30 m5 uniform high,1.0174659645021442,0.9733417629016324,0.04412420160051193,-0.4092336311369314,0.5587821733430044,0.8896900354734734,0.11111111111111116,0.4444444444444444,1.0
QI-MRFO,GA,n50 m10 bimodal high,11.343945560001428,11.110472717157482,0.23347284284394595,-14.231240764320214,12.221744749828977,0.9786644960778628,0.0,0.5,1.0
QI-MRFO,GA,n100 m10 uniform high,1.4886654330408624,1.6404390733219798,-0.1517736402811172,-0.22486883334484084,-0.06306744134162157,0.08510931539072433,-0.5555555555555556,0.7777777777777778,0.255327946172173
QI-MRFO,GA,n50 m10 uniform none,2.5712552558299127,3.712464268910808,-1.1412090130808954,-1.4636760423899071,-0.8773904305457393,0.021912530874586427,-1.0,1.0,0.08765012349834571
QI-MRFO,P-MRFO (linear twin),n30 m5 uniform high,1.0174659645021442,0.9687646530611894,0.04870131144095472,-0.3808844679121354,0.2894268980623711,0.842068638450503,0.11111111111111116,0.4444444444444444,1.0
QI-MRFO,P-MRFO (linear twin),n50 m10 bimodal high,11.343945560001428,10.643852075972353,0.7000934840290771,-6.742811669011215,8.843092121098447,0.8909584843936539,-0.22222222222222227,0.6111111111111112,1.0
QI-MRFO,P-MRFO (linear twin),n100 m10 uniform high,1.4886654330408624,1.3563034778923453,0.13236195514851723,-0.2755670895804951,0.4418931465456765,0.5975190601284143,0.11111111111111116,0.4444444444444444,1.0
QI-MRFO,P-MRFO (linear twin),n50 m10 uniform none,2.5712552558299127,3.545812509432964,-0.9745572536030517,-2.000917117437991,-0.1578513486173605,0.21414027490376492,-0.5555555555555556,0.7777777777777778,0.8565610996150597
QI-MRFO,Max-Min,n30 m5 uniform high,1.0174659645021442,2.1005989740492463,-1.083133009547102,-1.3694796283942736,-0.6895045805848614,0.033530366343748494,-1.0,1.0,0.10969926664228634
QI-MRFO,Max-Min,n50 m10 bimodal high,11.343945560001428,7.769416245747301,3.5745293142541272,-1.5192948732735259,12.232313782932442,0.49771931858525154,0.3333333333333333,0.3333333333333333,0.49771931858525154
QI-MRFO,Max-Min,n100 m10 uniform high,1.4886654330408624,0.8260686398887206,0.662596793152142,0.5216437338255914,0.8839464195313861,0.027424816660571585,1.0,0.0,0.10969926664228634
QI-MRFO,Max-Min,n50 m10 uniform none,2.5712552558299127,2.095393466421362,0.4758617894085515,0.1691398238679632,1.049107790696812,0.23900506261964977,1.0,0.0,0.47801012523929953
QI-DMO,DMO,n30 m5 uniform high,1.8548322797204444,2.6700346982440255,-0.815202418523581,-1.3592094848889484,-0.47469947934372864,0.09736488634967572,-0.5555555555555556,0.7777777777777778,0.09736488634967572
