A,B,instance,gap A %,gap B %,diff (A-B) pp,CI95 lo,CI95 hi,p,cliffs_delta,A12 (P[A better]),p_holm
QI-MRFO,MRFO,n30 m5 uniform high,2.366043473552161,9.368835860286815,-7.0027923867346535,-9.008961713644947,-4.99662305982436,0.1776224398110251,-1.0,1.0,0.21224177522651108
QI-MRFO,MRFO,n50 m10 bimodal high,7.2691732933817255,48.691147013323715,-41.42197371994199,-48.39145418107569,-34.45249325880829,0.10612088761325554,-1.0,1.0,0.21224177522651108
QI-MRFO,GA,n30 m5 uniform high,2.366043473552161,1.8509957348820767,0.5150477386700844,-0.16026418143049395,1.1903596587706626,0.5851990364041417,0.0,0.5,1.0
QI-MRFO,GA,n50 m10 bimodal high,7.2691732933817255,14.511886478315766,-7.242713184934043,-17.19534091289116,2.7099145430230744,0.5995102001775292,0.0,0.5,1.0
QI-MRFO,P-MRFO (linear twin),n30 m5 uniform high,2.366043473552161,1.369071068976541,0.9969724045756199,-0.46569430636019987,2.4596391155114397,0.6191239500388139,0.5,0.25,0.6191239500388139
QI-MRFO,P-MRFO (linear twin),n50 m10 bimodal high,7.2691732933817255,12.075785474533143,-4.806612181151419,-5.212947762634225,-4.400276599668612,0.053690138765135904,-1.0,1.0,0.10738027753027181
QI-MRFO,Max-Min,n30 m5 uniform high,2.366043473552161,2.1005989740492463,0.26544449950291477,-0.813135931208888,1.3440249302147176,0.8463773852952222,0.0,0.5,1.0
QI-MRFO,Max-Min,n50 m10 bimodal high,7.2691732933817255,7.769416245747301,-0.5002429523655768,-1.0110549378346185,0.010569033103464964,0.5066546437079406,0.0,0.5,1.0
QI-DMO,DMO,n30 m5 uniform high,2.7515345667025626,4.077125752382528,-1.3255911856799663,-2.5411910467124295,-0.10999132464750289,0.4724621361129249,-1.0,1.0,0.4724621361129249
QI-DMO,DMO,n50 m10 bimodal high,24.052397919673783,71.13973150374255,-47.08733358406877,-49.027820233194795,-45.146846934942744,0.026220502539069306,-1.0,1.0,0.05244100507813861
QI-DMO,GA,n30 m5 uniform high,2.7515345667025626,1.8509957348820767,0.9005388318204859,0.3176314120886,1.4834462515523716,0.3657163611850662,0.5,0.25,0.7314327223701323
QI-DMO,GA,n50 m10 bimodal high,24.052397919673783,14.511886478315766,9.540511441358019,0.30421733549227115,18.776805547223766,0.4896865402878045,0.5,0.25,0.7314327223701323
QI-MRFO,QI-DMO,n30 m5 uniform high,2.366043473552161,2.7515345667025626,-0.3854910931504016,-0.477895593519094,-0.2930865927817092,0.14977556450094853,-0.5,0.75,0.14977556450094853
QI-MRFO,QI-DMO,n50 m10 bimodal high,7.2691732933817255,24.052397919673783,-16.78322462629206,-17.499558248383433,-16.06689100420069,0.027155420965740806,-1.0,1.0,0.05431084193148161
