exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
v5_c_dynamic,QI-MRFO+CXM c=0.0,n100 m10 churn20 lam=0.05,churn,100,10,11,20000,4000,9.066170692443848,0.0008752352644938131,0.003897469202905187,0.00827453753716627,0.9975756942965155,5.375,0.0671875,0.0,0.0072685399634154334,0.05,,0.0008752352644938131,0.012818488594082645,0,churn,0.005870120174797997,0.010273501469996515,4,churn,0.002835573324962214,0.008873540020085802,9,churn,0.0032788153851743586,0.008957167838367362,6,churn,0.002973127122222715,0.007816109292076486,6,churn,0.002021744456866564,0.007982113135472056,8,churn,0.004633078425919256,0.006627123106806964,3,churn,0.0044183637308278,0.008557930217002751,4,churn,0.005148931002470593,0.007108815217522222,3,QI-MRFO+CXM c=0.0|n100 m10 churn20 lam=0.05|11
v5_c_dynamic,QI-MRFO+CXM c=0.0,n100 m10 churn20 lam=0.05,churn,100,10,12,20000,4000,9.290209770202637,0.0003681598290425103,0.00357113988114237,0.010900954270792858,0.995310067562758,9.625,0.12031250000000002,0.0,0.009605856690316855,0.05,,0.0003681598290425103,0.006477256930283365,0,churn,0.005305155393722494,0.010107081148175781,5,churn,0.0023459760068310115,0.014456688811322702,16,churn,0.002869226003401862,0.01377047394058935,12,churn,0.00502672620705218,0.012432962988499484,11,churn,0.00561863933190562,0.0077757637461229,3,churn,0.0025294324628571158,0.008296271431822719,8,churn,0.0024659602562286894,0.00858579240995794,9,churn,0.0024080033871399908,0.011782599689851984,13,QI-MRFO+CXM c=0.0|n100 m10 churn20 lam=0.05|12
v5_c_dynamic,QI-MRFO+CXM c=0.0,n100 m10 churn20 lam=0.05,churn,100,10,13,20000,4000,8.969743251800537,0.00030771894364913535,0.003501230580950029,0.007489173010638766,0.9956908982682747,5.375,0.0671875,0.0,0.006871453932886632,0.05,,0.00030771894364913535,0.007579943031924684,0,churn,0.003283193467504603,0.0074995072703447465,6,churn,0.002501354691749102,0.01072929781643593,9,churn,0.003726010231550846,0.007992247805793384,6,churn,0.0033038710587172952,0.0066823421753616765,5,churn,0.0017256056316542984,0.006696159582119773,7,churn,0.003969116613147157,0.0060667003286203405,3,churn,0.005283466953897406,0.007959818466636766,4,churn,0.004217225999379527,0.006287310639797508,3,QI-MRFO+CXM c=0.0|n100 m10 churn20 lam=0.05|13
v5_c_dynamic,QI-MRFO+CXM c=0.0,n100 m10 churn20 lam=0.05,churn,100,10,14,20000,4000,9.005621671676636,0.0006379281514312193,0.0032907022531655193,0.008574744182709718,0.9944422399617364,6.875,0.0859375,0.0,0.0076004778342356255,0.05,,0.0006379281514312193,0.018595386191747786,0,churn,0.006041800681202318,0.009632790835459254,5,churn,0.002909829473784511,0.009270150206813274,9,churn,0.0025489307054997012,0.010346098746348944,11,churn,0.0010205136465700857,0.006594156757506719,7,churn,0.003325062784126441,0.007096727022749913,5,churn,0.00162064439450179,0.008102688576924677,7,churn,0.0038003604079628853,0.010509339645768778,8,churn,0.005058475931676423,0.007046001670106186,3,QI-MRFO+CXM c=0.0|n100 m10 churn20 lam=0.05|14
v5_c_dynamic,QI-MRFO+CXM c=0.0,n100 m10 churn20 lam=0.05,churn,100,10,15,20000,4000,9.070862770080566,0.00023086934095746552,0.0031765947334684505,0.009558717327885543,0.9945141393099914,8.75,0.109375,0.0,0.00866152239787581,0.05,,0.00023086934095746552,0.032611703003275615,0,churn,0.0052647696296978155,0.010840282140176542,8,churn,0.0031087559368007177,0.0057040934976843516,4,churn,0.0050548890681062775,0.007977587433925806,4,churn,0.001970752986943657,0.010898776461374082,11,churn,0.002499196309371515,0.015551967862391304,17,churn,0.0031071979367205357,0.011132237024490843,12,churn,0.0020442670095804603,0.006712885800134312,7,churn,0.0023629289905266254,0.007651908402907098,7,QI-MRFO+CXM c=0.0|n100 m10 churn20 lam=0.05|15
v5_c_dynamic,QI-MRFO+CXM c=0.5,n100 m10 churn20 lam=0.05,churn,100,10,11,20000,4000,11.692705869674683,0.0004849464907293479,0.0038289896746944723,0.007714497026057162,0.9975078490931399,5.5,0.06875,0.0,0.007279189069663846,0.05,,0.0004849464907293479,0.02046058412824573,0,churn,0.004575054208187685,0.010165530071292235,8,churn,0.001210253395408921,0.005301153082264543,6,churn,0.004600705620193496,0.00993098232523871,8,churn,0.003976768713055801,0.00873108787377601,6,churn,0.0015203476024881514,0.005109777804824911,5,churn,0.004275415764803277,0.007477027578251176,5,churn,0.006424130439793619,0.007795979234191842,2,churn,0.004049241653624826,0.007204438238617876,4,QI-MRFO+CXM c=0.5|n100 m10 churn20 lam=0.05|11
v5_c_dynamic,QI-MRFO+CXM c=0.5,n100 m10 churn20 lam=0.05,churn,100,10,12,20000,4000,11.911747694015503,0.0004426330117661444,0.005990908649091588,0.011543630705978046,0.9977091273494132,6.625,0.0828125,0.0,0.010151932326345035,0.05,,0.0004426330117661444,0.00856161825219418,0,churn,0.004642866631893442,0.013059508007757601,10,churn,0.006875864567123624,0.011655433192932616,6,churn,0.007113372493631899,0.009055343717980356,3,churn,0.0028834111211335414,0.009830450289201025,9,churn,0.009122717178143145,0.012801941996654426,3,churn,0.012139515291245132,0.016088879695673203,4,churn,0.0021891121882214692,0.005594539533822882,4,churn,0.0029604097213404524,0.014262949213802252,14,QI-MRFO+CXM c=0.5|n100 m10 churn20 lam=0.05|12
v5_c_dynamic,QI-MRFO+CXM c=0.5,n100 m10 churn20 lam=0.05,churn,100,10,13,20000,4000,11.720063209533691,0.0004100838560445812,0.00461577796641412,0.010187090971842812,0.9967962079336159,6.25,0.078125,0.0,0.00853491796481741,0.05,,0.0004100838560445812,0.017372857942080887,0,churn,0.0015077228122282313,0.013653557252947942,13,churn,0.006536157435002597,0.012927279669516869,8,churn,0.012080829433883165,0.012080829433883165,0,churn,0.0033007431829315437,0.009461559708324147,5,churn,0.0037667931584092415,0.010466032366566671,8,churn,0.0018820878766198502,0.007691965935256133,8,churn,0.003505562928702136,0.007649952203915048,4,churn,0.004346326903536196,0.0075655512043325225,4,QI-MRFO+CXM c=0.5|n100 m10 churn20 lam=0.05|13
v5_c_dynamic,QI-MRFO+CXM c=0.5,n100 m10 churn20 lam=0.05,churn,100,10,14,20000,4000,12.812049865722656,0.0002917194605493615,0.004919393953789744,0.009898139056879151,0.996055242498196,6.875,0.0859375,0.0,0.009236352867971715,0.05,,0.0002917194605493615,0.02724586930215202,0,churn,0.005776426890224958,0.007947730152900177,3,churn,0.004798492367689258,0.012855726512671398,12,churn,0.006371679858175436,0.011154523325789664,7,churn,0.005299528977236517,0.009728441293736095,7,churn,0.006170967689311796,0.011325494968803217,6,churn,0.0018311233323379263,0.009182657443305155,9,churn,0.005596664378836684,0.008270473763088156,4,churn,0.0035102681365053704,0.008720064994739355,7,QI-MRFO+CXM c=0.5|n100 m10 churn20 lam=0.05|14
v5_c_dynamic,QI-MRFO+CXM c=0.5,n100 m10 churn20 lam=0.05,churn,100,10,15,20000,4000,11.689099550247192,0.001322883105013088,0.004551764145522329,0.010381569167692601,0.9958771996843416,6.875,0.0859375,0.0,0.008866910714218502,0.05,,0.001322883105013088,0.019502465888113787,0,churn,0.004650028196918383,0.008933254283479184,5,churn,0.005973324888443277,0.009455051618979199,4,churn,0.005152219111922558,0.009066240067146788,5,churn,0.003803055531054476,0.009171337451188005,6,churn,0.004079651313976622,0.015352893795912434,13,churn,0.004733173058613502,0.010004538303202332,5,churn,0.0026631822545484978,0.011369010857747866,11,churn,0.005359478808701317,0.009700226963885004,6,QI-MRFO+CXM c=0.5|n100 m10 churn20 lam=0.05|15
