exp,algo,family,n,m,dist,het,inst_seed,run_seed,budget,lb,lb2,maxmin,runtime_s,best,makespan,energy_Wh,evals,gap,gap2,ratio_mm,end_impr_reloc,end_impr_swap,end_tied_crit,wasted,neutral,improving,worse,move_size,gb_impr_per_1k,dup_global_frac,touch_crit_frac,x_frac,x_success,late_improving_frac,last_gb_impr_frac,div_end,purity_end,c_end,c_mean,bsf_005,bsf_010,bsf_015,bsf_020,bsf_025,bsf_030,bsf_035,bsf_040,bsf_045,bsf_050,bsf_055,bsf_060,bsf_065,bsf_070,bsf_075,bsf_080,bsf_085,bsf_090,bsf_095,bsf_100,key
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,0,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.5946409702301025,47.07814653292836,47.07814653292836,28.679918421539952,19950,0.0003734036935296647,0.0003734036935302689,0.9921773378534396,0,1,1,0.00040160642570281126,0.00020080321285140563,0.02319277108433735,0.9762048192771084,19.012198795180723,6.265664160401003,0.2235441767068273,0.9482931726907631,1.0,0.02319277108433735,0.004216867469879518,0.9518796992481203,0.06142528735632184,0.9947783704228763,0.0,0.0,47.40025655865521,47.166538273522356,47.112578328579595,47.10039107654135,47.10039107654135,47.09809359073791,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.08540977808263,47.07814653292836,47.07814653292836,P-MRFO+CXM c=0.0|100|10|uniform|high|1|0
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,1,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.595184564590454,47.07761124916683,47.07761124916683,28.680518832209806,19950,0.0003620293366805008,0.0003620293366811049,0.9921660566867705,0,0,1,0.00030120481927710846,0.0005522088353413654,0.0391566265060241,0.9599899598393574,20.769277108433734,11.278195488721805,0.08995983935742972,0.9351907630522088,1.0,0.0391566265060241,0.0036144578313253013,0.912781954887218,0.10641379310344828,0.9931223880585489,0.0,0.0,52.703644824480904,50.54369942921556,50.47009180807488,49.94655385153915,47.37270476388621,47.13380971601991,47.100678518891165,47.085768558182465,47.085303976768024,47.08446505147067,47.08446505147067,47.08353925952017,47.08353925952017,47.08353925952017,47.0823590203144,47.08061797092025,47.079616890422265,47.07770878743574,47.07761124916683,47.07761124916683,P-MRFO+CXM c=0.0|100|10|uniform|high|1|1
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,2,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.506701946258545,47.074817429575674,47.074817429575674,28.67941133739997,19950,0.000302662878577608,0.0003026628785782121,0.9921071766184472,0,1,1,0.00015060240963855423,0.00030120481927710846,0.026957831325301204,0.9725903614457831,21.5945281124498,8.571428571428571,0.14156626506024098,0.932781124497992,1.0,0.026957831325301204,0.0033132530120481927,0.7533834586466165,0.1070344827586207,0.9927403142499064,0.0,0.0,48.515918255752105,47.15597427150503,47.093285078050556,47.08420654630369,47.08410566517152,47.083190840269175,47.083190840269175,47.083190840269175,47.0825286027767,47.07985291704755,47.07985291704755,47.07612012496432,47.07612012496432,47.07612012496432,47.07612012496432,47.074817429575674,47.074817429575674,47.074817429575674,47.074817429575674,47.074817429575674,P-MRFO+CXM c=0.0|100|10|uniform|high|1|2
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,3,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.511023759841919,47.074857560041906,47.074857560041906,28.67906849163652,19950,0.000303515619266286,0.0003035156192668901,0.9921080223726259,0,0,1,0.002359437751004016,0.00030120481927710846,0.03247991967871486,0.964859437751004,21.087048192771086,9.523809523809524,0.2211847389558233,0.9397590361445783,1.0,0.03247991967871486,0.0051204819277108436,0.8406015037593985,0.1299310344827586,0.9915320143579979,0.0,0.0,49.16182764288778,47.229723665009566,47.19547876686061,47.1382229105245,47.125557434935914,47.11495940170024,47.11495940170024,47.11495940170024,47.11495940170024,47.11495940170024,47.11495940170024,47.11495940170024,47.10795813009555,47.09703629203042,47.09703629203042,47.076244805352836,47.074857560041906,47.074857560041906,47.074857560041906,47.074857560041906,P-MRFO+CXM c=0.0|100|10|uniform|high|1|3
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,4,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.4937903881073,47.077382002511726,47.077382002511726,28.681327635023266,19950,0.0003571580264540045,0.00035715802645460863,0.9921612252872206,0,0,1,0.00010040160642570282,0.00020080321285140563,0.02575301204819277,0.9739457831325301,21.39262048192771,7.669172932330827,0.11124497991967872,0.9377008032128514,1.0,0.02575301204819277,0.004116465863453815,0.912781954887218,0.1017471264367816,0.9935599407743376,0.0,0.0,48.45303376095638,47.159739385655136,47.1189411536438,47.09967786000351,47.09967786000351,47.094688755007425,47.090995027512825,47.08892461908612,47.08892461908612,47.08892461908612,47.08892461908612,47.085509342128404,47.085509342128404,47.0845681982659,47.0845681982659,47.0845681982659,47.08342367237098,47.07819418126199,47.077382002511726,47.077382002511726,P-MRFO+CXM c=0.0|100|10|uniform|high|1|4
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,5,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.569636344909668,47.08292081075956,47.08292081075956,28.68240345221975,19950,0.00047485332389772317,0.0004748533238983274,0.9922779563063225,0,0,1,0.000251004016064257,0.00045180722891566266,0.031676706827309234,0.9676204819277109,21.785090361445782,11.528822055137844,0.14528112449799196,0.9285140562248996,1.0,0.031676706827309234,0.0030120481927710845,0.6390977443609023,0.11636781609195403,0.9903959241493159,0.0,0.0,50.36149774944366,48.768253225440624,47.2344517205526,47.11287892433985,47.097481464125714,47.09305232914093,47.09305232914093,47.09305232914093,47.09202322960697,47.086365466022706,47.086365466022706,47.086365466022706,47.08292081075956,47.08292081075956,47.08292081075956,47.08292081075956,47.08292081075956,47.08292081075956,47.08292081075956,47.08292081075956,P-MRFO+CXM c=0.0|100|10|uniform|high|1|5
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,6,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.5279269218444824,47.07943327176797,47.07943327176797,28.681145385150295,19950,0.00040074587684491616,0.0004007458768455204,0.9922044560220682,0,1,1,0.00015060240963855423,0.000251004016064257,0.03268072289156627,0.9669176706827309,22.73679718875502,10.225563909774436,0.11029116465863453,0.9346385542168675,1.0,0.03268072289156627,0.004317269076305221,0.7593984962406015,0.07928735632183909,0.9944005150713032,0.0,0.0,49.69878290634944,47.75566538840118,47.27097258455722,47.203345474150844,47.16735118482708,47.14420486439429,47.138138223441274,47.11673226209622,47.09867505283123,47.08509708416694,47.08148596847242,47.08148596847242,47.08148596847242,47.08148596847242,47.08024145048648,47.07943327176797,47.07943327176797,47.07943327176797,47.07943327176797,47.07943327176797,P-MRFO+CXM c=0.0|100|10|uniform|high|1|6
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,7,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.4881656169891357,47.07471829801863,47.07471829801863,28.679799659923155,19950,0.00030055641134310693,0.00030055641134371105,0.9921050874095125,0,0,1,0.00010040160642570282,0.00015060240963855423,0.023343373493975902,0.9764056224899599,20.12324297188755,6.616541353383458,0.21174698795180724,0.943222891566265,1.0,0.023343373493975902,0.0026104417670682733,0.38345864661654133,0.08285057471264368,0.9959347042229806,0.0,0.0,47.278501969489604,47.111264056373955,47.101198898838376,47.101198898838376,47.09518869476628,47.07554451744688,47.07554451744688,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,47.07471829801863,P-MRFO+CXM c=0.0|100|10|uniform|high|1|7
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,8,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.7029969692230225,47.08068328675459,47.08068328675459,28.679301131806653,19950,0.0004273077073104056,0.00042730770731100976,0.9922308002312829,0,0,1,0.00035140562248995986,0.00030120481927710846,0.02469879518072289,0.9746485943775101,21.28539156626506,6.867167919799499,0.15737951807228914,0.936495983935743,1.0,0.02469879518072289,0.003714859437751004,0.762406015037594,0.0949655172413793,0.9907331441461357,0.0,0.0,47.20130229440086,47.132658396201975,47.11108219474866,47.0990880424387,47.092472875792225,47.08709364647027,47.08645592326555,47.086391385144125,47.086391385144125,47.0829748984903,47.08070309804894,47.08070309804894,47.08070309804894,47.08070309804894,47.08070309804894,47.08068328675459,47.08068328675459,47.08068328675459,47.08068328675459,47.08068328675459,P-MRFO+CXM c=0.0|100|10|uniform|high|1|8
v5_c_under_cxm,P-MRFO+CXM c=0.0,n100 m10 uniform high,100,10,uniform,high,1,9,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.6917812824249268,47.10241288755389,47.10241288755389,28.679265933815646,19950,0.0008890445494201568,0.0008890445494207612,0.9926887540604249,0,0,1,0.0006526104417670683,0.00040160642570281126,0.0285140562248996,0.9704317269076306,18.97078313253012,8.37092731829574,0.3049698795180723,0.9337349397590361,1.0,0.0285140562248996,0.0033132530120481927,0.27518796992481204,0.05303448275862069,0.9939472912206715,0.0,0.0,48.42555194237876,47.231116002011966,47.13259226760772,47.113044295685704,47.107986950413476,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,47.10241288755389,P-MRFO+CXM c=0.0|100|10|uniform|high|1|9
